dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.630964,5.025000,0.001094,0.087500,3.500000,140.000000,6.283162
0.025000,1.635452,5.025000,0.005582,0.179516,3.680629,7.225153,6.283052
0.025000,1.644427,5.024997,0.014557,0.359024,7.180333,139.988170,6.282831
0.025000,1.657890,5.024990,0.028020,0.538518,7.179741,-0.023667,6.282502
0.025000,1.675840,5.024974,0.045970,0.717989,7.178853,-0.035521,6.282063
0.025000,1.698276,5.024943,0.068406,0.897431,7.177668,-0.047400,6.281516
0.025000,1.725196,5.024889,0.095327,1.076835,7.176186,-0.059309,6.280861
0.025000,1.756601,5.024804,0.126731,1.256195,7.174404,-0.071259,6.280100
0.025000,1.792489,5.024678,0.162619,1.435503,7.172323,-0.083253,6.279235
0.025000,1.832857,5.024499,0.202988,1.614752,7.169940,-0.095299,6.278265
0.025000,1.877705,5.024254,0.247836,1.793933,7.167255,-0.107401,6.277193
0.025000,1.927030,5.023930,0.297162,1.973040,7.164266,-0.119566,6.276022
0.025000,1.980829,5.023510,0.350964,2.152064,7.160971,-0.131794,6.274752
0.025000,2.039102,5.022979,0.409239,2.330999,7.157369,-0.144091,6.273386
0.025000,2.101844,5.022318,0.471985,2.509835,7.153458,-0.156456,6.271927
0.025000,2.169054,5.021509,0.539199,2.688566,7.149235,-0.168891,6.270376
0.025000,2.240727,5.020532,0.610878,2.867183,7.144701,-0.181395,6.268738
0.025000,2.316860,5.019367,0.687020,3.045680,7.139851,-0.193967,6.267014
0.025000,2.397449,5.017990,0.767621,3.224047,7.134686,-0.206604,6.265208
0.025000,2.482491,5.016381,0.852678,3.402277,7.129204,-0.219304,6.263323
0.025000,2.571980,5.014515,0.942187,3.580362,7.123402,-0.232058,6.261363
0.025000,2.665913,5.012369,1.036145,3.758294,7.117281,-0.244865,6.259331
0.025000,2.764284,5.009919,1.134546,3.936065,7.110838,-0.257715,6.257232
0.025000,2.867088,5.007139,1.237388,4.113667,7.104073,-0.270603,6.255069
0.025000,2.974320,5.004003,1.344665,4.291091,7.096985,-0.283518,6.252848
0.025000,3.085973,5.000488,1.456374,4.468331,7.089573,-0.296452,6.250571
0.025000,3.202041,4.996565,1.572508,4.645377,7.081838,-0.309397,6.248245
0.025000,3.322518,4.992211,1.693064,4.822221,7.073780,-0.322340,6.245874
0.025000,3.447397,4.987398,1.818035,4.998856,7.065398,-0.335273,6.243463
0.025000,3.576670,4.982101,1.947417,5.175273,7.056694,-0.348184,6.241017
0.025000,3.710330,4.976295,2.081203,5.351465,7.047667,-0.361064,6.238542
0.025000,3.848371,4.969955,2.219389,5.527423,7.038319,-0.373902,6.236044
0.025000,3.990782,4.963056,2.361968,5.703139,7.028652,-0.386689,6.233528
0.025000,4.137557,4.955575,2.508933,5.878606,7.018667,-0.399416,6.231001
0.025000,4.288686,4.947489,2.660278,6.053815,7.008365,-0.412074,6.228469
0.025000,4.444161,4.938775,2.815997,6.228759,6.997748,-0.424657,6.225938
0.025000,4.603973,4.929413,2.976083,6.403429,6.986820,-0.437159,6.223416
0.025000,4.768112,4.919383,3.140528,6.577819,6.975580,-0.449575,6.220908
0.025000,4.936569,4.908667,3.309326,6.751920,6.964033,-0.461904,6.218422
0.025000,5.109335,4.897248,3.482469,6.925724,6.952179,-0.474143,6.215965
0.025000,5.285294,4.885188,3.658841,7.054867,5.165730,-71.457963,6.213560
0.025000,5.462228,4.872641,3.836219,7.095115,1.609921,-142.232336,6.211240
0.025000,5.639029,4.859700,4.013493,7.090979,-0.165443,-71.014595,6.209021
0.025000,5.815699,4.846384,4.190664,7.086843,-0.165468,-0.000981,6.206903
0.025000,5.992238,4.832710,4.367732,7.082706,-0.165479,-0.000450,6.204886
0.025000,6.168647,4.818698,4.544696,7.078569,-0.165479,0.000012,6.202969
0.025000,6.344926,4.804364,4.721557,7.074432,-0.165469,0.000410,6.201154
0.025000,6.521076,4.789729,4.898314,7.070296,-0.165450,0.000746,6.199439
0.025000,6.697099,4.774808,5.074968,7.066160,-0.165424,0.001025,6.197826
0.025000,6.872995,4.759622,5.251519,7.062025,-0.165393,0.001248,6.196313
0.025000,7.048766,4.744187,5.427966,7.057891,-0.165358,0.001419,6.194901
0.025000,7.224413,4.728522,5.604310,7.053758,-0.165319,0.001542,6.193590
0.025000,7.399937,4.712645,5.780551,7.049626,-0.165279,0.001620,6.192379
0.025000,7.575340,4.696574,5.956688,7.045495,-0.165237,0.001656,6.191269
0.025000,7.750623,4.680327,6.132723,7.041366,-0.165196,0.001653,6.190261
0.025000,7.925787,4.663921,6.308653,7.037237,-0.165156,0.001615,6.189352
0.025000,8.100834,4.647374,6.484481,7.033109,-0.165117,0.001544,6.188545
0.025000,8.275766,4.630705,6.660206,7.028982,-0.165081,0.001445,6.187838
0.025000,8.450585,4.613931,6.835827,7.024856,-0.165048,0.001320,6.187232
0.025000,8.625291,4.597070,7.011345,7.020730,-0.165019,0.001173,6.186726
0.025000,8.799888,4.580139,7.186761,7.016605,-0.164993,0.001006,6.186321
0.025000,8.974375,4.563156,7.362073,7.012481,-0.164973,0.000823,6.186017
0.025000,9.148756,4.546138,7.537281,7.008357,-0.164957,0.000628,6.185813
0.025000,9.323031,4.529104,7.712387,7.004233,-0.164946,0.000423,6.185710
0.025000,9.497203,4.512071,7.887390,7.000110,-0.164941,0.000211,6.185707
0.025000,9.671273,4.495056,8.062290,6.995986,-0.164941,-0.000004,6.185805
0.025000,9.845243,4.478077,8.237086,6.991863,-0.164947,-0.000219,6.186003
0.025000,10.019114,4.461151,8.411780,6.987739,-0.164958,-0.000431,6.186302
0.025000,10.192889,4.444296,8.586370,6.983614,-0.164973,-0.000636,6.186702
0.025000,10.366569,4.427529,8.760857,6.979489,-0.164994,-0.000832,6.187202
0.025000,10.540155,4.410868,8.935241,6.975364,-0.165020,-0.001016,6.187803
0.025000,10.713650,4.394329,9.109522,6.971238,-0.165049,-0.001183,6.188505
0.025000,10.887054,4.377930,9.283700,6.967111,-0.165083,-0.001332,6.189307
0.025000,11.060369,4.361689,9.457775,6.962983,-0.165119,-0.001458,6.190210
0.025000,11.233597,4.345623,9.631746,6.958854,-0.165158,-0.001559,6.191213
0.025000,11.406739,4.329749,9.805614,6.954724,-0.165199,-0.001631,6.192317
0.025000,11.579796,4.314084,9.979379,6.950593,-0.165240,-0.001671,6.193523
