dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,22.998850,4.475000,0.001094,0.087500,3.500000,140.000000,3.141447
0.025000,22.993821,4.475002,0.006123,0.201159,4.546353,41.854135,3.140809
0.025000,22.983759,4.475017,0.016185,0.402480,8.052828,140.258973,3.139529
0.025000,22.968656,4.475062,0.031288,0.604126,8.065862,0.521391,3.137599
0.025000,22.948499,4.475169,0.051445,0.806267,8.085637,0.790984,3.135007
0.025000,22.923273,4.475376,0.076671,1.009078,8.112421,1.071356,3.131737
0.025000,22.892957,4.475735,0.106990,1.212742,8.146581,1.366418,3.127768
0.025000,22.857525,4.476308,0.142426,1.417457,8.188592,1.680412,3.123073
0.025000,22.816948,4.477170,0.183012,1.623433,8.239035,2.017738,3.117624
0.025000,22.771193,4.478409,0.228785,1.830898,8.298622,2.383456,3.111382
0.025000,22.720219,4.480130,0.279787,2.040103,8.368190,2.782737,3.104307
0.025000,22.663984,4.482451,0.336070,2.251321,8.448728,3.221534,3.096347
0.025000,22.602439,4.485511,0.397692,2.464856,8.541383,3.706180,3.087448
0.025000,22.535529,4.489468,0.464718,2.681042,8.647467,4.243356,3.077544
0.025000,22.463198,4.494505,0.537224,2.900254,8.768477,4.840411,3.066562
0.025000,22.385382,4.500827,0.615297,3.122907,8.906090,5.504509,3.054418
0.025000,22.302014,4.508674,0.699033,3.349461,9.062157,6.242706,3.041016
0.025000,22.213024,4.518315,0.788544,3.580428,9.238685,7.061088,3.026248
0.025000,22.118340,4.530062,0.883953,3.816372,9.437771,7.963459,3.009994
0.025000,22.017892,4.544267,0.985401,4.057910,9.661524,8.950128,2.992117
0.025000,21.911611,4.561336,1.093044,4.305707,9.911886,10.014467,2.972464
0.025000,21.799439,4.581731,1.207055,4.560467,10.190386,11.139992,2.950865
0.025000,21.681330,4.605983,1.327628,4.822910,10.497728,12.293671,2.927133
0.025000,21.557265,4.634693,1.454972,5.093740,10.833205,13.419097,2.901063
0.025000,21.427261,4.668547,1.589311,5.373586,11.193846,14.425627,2.872434
0.025000,21.291390,4.708319,1.730884,5.662917,11.573230,15.175356,2.841016
0.025000,21.149800,4.754876,1.879932,5.961916,11.959957,15.469086,2.806572
0.025000,21.002748,4.809180,2.036690,6.270310,12.335777,15.032820,2.768872
0.025000,20.850635,4.872271,2.201369,6.587150,12.673585,13.512305,2.727711
0.025000,20.694044,4.945255,2.374132,6.910544,12.935745,10.486414,2.682927
0.025000,20.533789,5.029253,2.555067,7.237384,13.073606,5.514433,2.634437
0.025000,20.370951,5.125347,2.744145,7.563122,13.029514,-1.763660,2.582267
0.025000,20.206900,5.234494,2.941187,7.881693,12.742838,-11.467078,2.526591
0.025000,20.043289,5.357418,3.145830,8.185718,12.161028,-23.272394,2.467764
0.025000,19.882007,5.494514,3.357508,8.467094,11.255038,-36.239585,2.406339
0.025000,19.725071,5.645753,3.575457,8.717981,10.035480,-48.782332,2.343060
0.025000,19.574490,5.810643,3.798758,8.932056,8.563008,-58.898864,2.278826
0.025000,19.432096,5.988252,4.026401,9.105706,6.945996,-64.680505,2.214625
0.025000,19.299393,6.177294,4.257370,9.238772,5.322614,-64.935264,2.151446
0.025000,19.177459,6.376269,4.490735,9.334569,3.831899,-59.628618,2.090202
0.025000,19.067549,6.582313,4.724260,9.341028,0.258354,-142.941776,2.032004
0.025000,18.970709,6.791308,4.954601,9.213627,-5.096050,-214.176146,1.977986
0.025000,18.886557,7.000670,5.180243,9.025661,-7.518633,-96.903353,1.928557
0.025000,18.813878,7.209453,5.401314,8.842875,-7.311436,8.287903,1.883591
0.025000,18.751455,7.417006,5.618051,8.669474,-6.936057,15.015147,1.842857
0.025000,18.698131,7.622909,5.830747,8.507819,-6.466180,18.795073,1.806070
0.025000,18.652843,7.826915,6.039719,8.358905,-5.956562,20.384713,1.772916
0.025000,18.614629,8.028902,6.245289,8.222790,-5.444614,20.477939,1.743085
0.025000,18.582636,8.228832,6.447763,8.098943,-4.953861,19.630111,1.716275
0.025000,18.556108,8.426724,6.647425,7.986502,-4.497661,18.248019,1.692210
0.025000,18.534382,8.622634,6.844536,7.884442,-4.082406,16.610209,1.670634
0.025000,18.516870,8.816638,7.039329,7.791692,-3.709998,14.896312,1.651322
0.025000,18.503057,9.008822,7.232009,7.707201,-3.379619,13.215133,1.634070
0.025000,18.492485,9.199278,7.422758,7.629978,-3.088939,11.627198,1.618703
0.025000,18.484747,9.388097,7.611736,7.559105,-2.834899,10.161637,1.605065
0.025000,18.479478,9.575367,7.799079,7.493750,-2.614200,8.827943,1.593021
0.025000,18.476350,9.761170,7.984908,7.433160,-2.423603,7.623861,1.582456
0.025000,18.475067,9.945582,8.169325,7.376658,-2.260088,6.540609,1.573268
0.025000,18.475286,10.127605,8.351348,7.280925,-3.829305,-62.768673,1.566328
0.025000,18.476657,10.308901,8.532650,7.252070,-1.154210,107.003794,1.560180
0.025000,18.479117,10.489935,8.713700,7.242011,-0.402359,30.074067,1.554277
0.025000,18.482619,10.670699,8.894498,7.231901,-0.404383,-0.080961,1.548620
0.025000,18.487114,10.851186,9.075041,7.221749,-0.406112,-0.069173,1.543212
0.025000,18.492555,11.031393,9.255330,7.211559,-0.407572,-0.058406,1.538051
0.025000,18.498895,11.211315,9.435364,7.201340,-0.408788,-0.048635,1.533140
0.025000,18.506085,11.390949,9.615141,7.191095,-0.409784,-0.039833,1.528479
0.025000,18.514079,11.570291,9.794662,7.180831,-0.410583,-0.031968,1.524069
0.025000,18.522828,11.749341,9.973926,7.170550,-0.411208,-0.025001,1.519909
0.025000,18.532287,11.928098,10.152932,7.160258,-0.411680,-0.018894,1.516000
0.025000,18.542407,12.106560,10.331681,7.149958,-0.412020,-0.013603,1.512342
0.025000,18.553141,12.284728,10.510172,7.139652,-0.412247,-0.009084,1.508936
0.025000,18.564444,12.462603,10.688406,7.129342,-0.412380,-0.005290,1.505781
