dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.625862,9.525000,0.001094,0.087500,3.500000,140.000000,0.000137
0.025000,1.629623,9.525002,0.004855,0.150438,2.517528,-39.298871,0.000736
0.025000,1.637142,9.525012,0.012373,0.300744,6.012245,139.788679,0.001938
0.025000,1.648411,9.525044,0.023643,0.450785,6.001618,-0.425086,0.003748
0.025000,1.663422,9.525118,0.038654,0.600423,5.985525,-0.643708,0.006176
0.025000,1.682159,9.525263,0.057391,0.749517,5.963779,-0.869854,0.009237
0.025000,1.704606,9.525511,0.079839,0.897921,5.936129,-1.105990,0.012946
0.025000,1.730740,9.525907,0.105976,1.045477,5.902252,-1.355092,0.017325
0.025000,1.760534,9.526499,0.135777,1.192021,5.861752,-1.619985,0.022397
0.025000,1.793958,9.527344,0.169211,1.337375,5.814156,-1.903839,0.028193
0.025000,1.830973,9.528509,0.206245,1.481347,5.758904,-2.210099,0.034746
0.025000,1.871537,9.530067,0.246838,1.623731,5.695346,-2.542297,0.042093
0.025000,1.915597,9.532103,0.290946,1.764299,5.622740,-2.904272,0.050281
0.025000,1.963096,9.534708,0.338516,1.902805,5.540238,-3.300055,0.059359
0.025000,2.013965,9.537986,0.389490,2.038978,5.446896,-3.733687,0.069384
0.025000,2.068126,9.542049,0.443803,2.172519,5.341664,-4.209303,0.080420
0.025000,2.125488,9.547020,0.501381,2.303104,5.223397,-4.730668,0.092539
0.025000,2.185949,9.553033,0.562140,2.430376,5.090876,-5.300849,0.105822
0.025000,2.249391,9.560235,0.625989,2.553947,4.942829,-5.921882,0.120359
0.025000,2.315677,9.568783,0.692824,2.673397,4.777990,-6.593526,0.136251
0.025000,2.384653,9.578846,0.762531,2.788276,4.595181,-7.312376,0.153609
0.025000,2.456146,9.590604,0.834984,2.898112,4.393430,-8.070052,0.172557
0.025000,2.529956,9.604248,0.910044,3.002416,4.172165,-8.850587,0.193228
0.025000,2.605859,9.619982,0.987562,3.100703,3.931477,-9.627524,0.215770
0.025000,2.683608,9.638018,1.067374,3.192515,3.672493,-10.359351,0.240341
0.025000,2.762924,9.658574,1.149311,3.277462,3.397887,-10.984263,0.267108
0.025000,2.843504,9.681878,1.233193,3.355276,3.112533,-11.414155,0.296245
0.025000,2.925018,9.708162,1.318840,3.425884,2.824338,-11.527808,0.327927
0.025000,3.007117,9.737661,1.406078,3.489514,2.545184,-11.166144,0.362325
0.025000,3.089437,9.770613,1.494748,3.546812,2.291914,-10.130786,0.399593
0.025000,3.171610,9.807262,1.584723,3.598990,2.087127,-8.191481,0.439856
0.025000,3.253276,9.847857,1.675922,3.647976,1.959431,-5.107835,0.483191
0.025000,3.334100,9.892664,1.768336,3.696541,1.942631,-0.672023,0.529608
0.025000,3.413787,9.941974,1.862045,3.748372,2.073228,5.223869,0.579029
0.025000,3.492089,9.996120,1.957245,3.808015,2.385737,12.500379,0.631262
0.025000,3.568819,10.055490,2.054262,3.880661,2.905812,20.802991,0.685990
0.025000,3.643837,10.120540,2.153555,3.971713,3.642106,29.451781,0.742765
0.025000,3.717036,10.191795,2.255710,4.086188,4.579000,37.475738,0.801014
0.025000,3.788317,10.269844,2.361410,4.228016,5.673105,43.764204,0.860072
0.025000,3.857554,10.355302,2.471395,4.399419,6.856109,47.320164,0.919217
0.025000,3.924163,10.448171,2.585682,4.571465,6.881842,1.029340,0.977367
0.025000,3.987214,10.547600,2.703417,4.709392,5.517092,-54.590011,1.033220
0.025000,4.046281,10.653004,2.824242,4.833022,4.945181,-22.876443,1.086060
0.025000,4.101333,10.764248,2.948363,4.964835,5.272538,13.094287,1.135685
0.025000,4.152335,10.881093,3.075855,5.099667,5.393275,4.829465,1.182024
0.025000,4.199266,11.003222,3.206690,5.233398,5.349259,-1.760642,1.225102
0.025000,4.242128,11.130261,3.340765,5.362997,5.183935,-6.612967,1.265020
0.025000,4.280956,11.261810,3.477925,5.486415,4.936726,-9.888361,1.301929
0.025000,4.315817,11.397463,3.617986,5.602422,4.640269,-11.858277,1.336010
0.025000,4.346805,11.536820,3.760746,5.710415,4.319730,-12.821532,1.367457
0.025000,4.374037,11.679500,3.906002,5.810249,3.993366,-13.054577,1.396471
0.025000,4.397651,11.825151,4.053555,5.902090,3.673652,-12.788573,1.423245
0.025000,4.417794,11.973447,4.203212,5.986304,3.368553,-12.203947,1.447965
0.025000,4.434621,12.124094,4.354796,6.063372,3.082696,-11.434293,1.470807
0.025000,4.448292,12.276829,4.508142,6.133830,2.818341,-10.574171,1.491930
0.025000,4.458968,12.431417,4.663098,6.198234,2.576146,-9.687832,1.511483
0.025000,4.466806,12.587649,4.819526,6.257127,2.355725,-8.816832,1.529600
0.025000,4.471961,12.745340,4.977302,6.311028,2.156059,-7.986628,1.546402
0.025000,4.474583,12.904329,5.136313,6.360423,1.975776,-7.211307,1.562000
0.025000,4.475185,13.075274,5.307259,6.837853,19.097213,684.857462,1.565865
0.025000,4.477310,13.263438,5.495434,7.527016,27.566504,338.771623,1.553010
0.025000,4.481956,13.452435,5.684488,7.562152,1.405449,-1046.442196,1.539297
0.025000,4.489315,13.642292,5.874488,7.599993,1.513647,4.327943,1.524662
0.025000,4.499600,13.833034,6.065508,7.640793,1.632004,4.734251,1.509031
0.025000,4.513044,14.024684,6.257628,7.684824,1.761243,5.169571,1.492326
0.025000,4.529901,14.217257,6.450938,7.732375,1.902015,5.630887,1.474460
0.025000,4.550450,14.410763,6.645531,7.783745,2.054823,6.112310,1.455342
0.025000,4.574998,14.605200,6.841512,7.839243,2.219926,6.604126,1.434869
0.025000,4.603881,14.800556,7.038992,7.899174,2.397205,7.091175,1.412934
0.025000,4.637466,14.996799,7.238087,7.963823,2.585984,7.551150,1.389422
0.025000,4.676155,15.193873,7.438923,8.033443,2.784789,7.952217,1.364211
0.025000,4.720385,15.391694,7.641629,8.108219,2.991053,8.250528,1.337175
0.025000,4.770628,15.590138,7.846335,8.188238,3.200740,8.387479,1.308186
0.025000,4.827389,15.789034,8.053171,8.273436,3.407926,8.287458,1.277119
0.025000,4.891204,15.988146,8.262259,8.363544,3.604338,7.856478,1.243852
0.025000,4.962629,16.187168,8.473710,8.458017,3.778925,6.983494,1.208280
0.025000,5.042233,16.385702,8.687609,8.555957,3.917571,5.545810,1.170317
0.025000,5.130575,16.583250,8.904010,8.656034,4.003094,3.420926,1.129912
0.025000,5.228182,16.779196,9.122920,8.756428,4.015766,0.506883,1.087056
0.025000,5.335517,16.972803,9.344290,8.854792,3.934567,-3.247966,1.041799
0.025000,5.452946,17.163211,9.567997,8.948276,3.739365,-7.808048,0.994259
0.025000,5.580693,17.349449,9.793838,9.033627,3.414036,-13.013162,0.944636
0.025000,5.718805,17.530461,10.021522,9.107383,2.950206,-18.553206,0.893212
0.025000,5.867118,17.705146,10.250676,9.166156,2.350925,-23.971235,0.840353
0.025000,6.024871,17.872035,10.480324,9.185911,0.790206,-62.428793,0.786621
0.025000,6.189922,18.028849,10.707991,9.106696,-3.168599,-158.352192,0.732973
0.025000,6.359374,18.173530,10.930806,8.912587,-7.764340,-183.829649,0.680470
0.025000,6.531130,18.305482,11.147396,8.663610,-9.959092,-87.790044,0.629774
0.025000,6.703804,18.425000,11.357399,8.400101,-10.540377,-23.251419,0.581239
0.025000,6.876131,18.532585,11.560551,8.126097,-10.960135,-16.790333,0.535121
0.025000,7.046995,18.628892,11.756688,7.845490,-11.224287,-10.566047,0.491581
0.025000,7.215451,18.714684,11.945732,7.561741,-11.349965,-5.027141,0.450696
0.025000,7.380718,18.790776,12.127675,7.277726,-11.360590,-0.425011,0.412472
0.025000,7.542172,18.858007,12.302567,6.995687,-11.281558,3.161291,0.376861
0.025000,7.699325,18.917200,12.470499,6.717259,-11.137127,5.777256,0.343774
0.025000,7.851808,18.969148,12.631587,6.443545,-10.948568,7.542355,0.313095
0.025000,7.999347,19.014595,12.785968,6.175211,-10.733367,8.608048,0.284695
0.025000,8.141747,19.054234,12.933782,5.912582,-10.505150,9.128652,0.258432
0.025000,8.278876,19.088698,13.075175,5.655731,-10.274044,9.244246,0.234167
0.025000,8.410647,19.118566,13.210289,5.404550,-10.047219,9.073003,0.211760
0.025000,8.537012,19.144361,13.339259,5.158813,-9.829485,8.709349,0.191079
0.025000,8.657948,19.166554,13.462215,4.918217,-9.623848,8.225483,0.171999
0.025000,8.773453,19.185568,13.579275,4.682418,-9.431976,7.674877,0.154401
0.025000,8.883542,19.201784,13.690552,4.451053,-9.254586,7.095593,0.138179
0.025000,8.988236,19.215543,13.796146,4.223759,-9.091739,6.513881,0.123232
0.025000,9.087564,19.227149,13.896150,4.000183,-8.943063,5.947077,0.109471
0.025000,9.181562,19.236876,13.990650,3.779985,-8.807913,5.405984,0.096812
0.025000,9.270265,19.244968,14.079721,3.562848,-8.685496,4.896692,0.085180
