dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,14.001368,6.525000,0.001094,0.087500,3.500000,140.000000,6.282868
0.025000,14.007104,6.524994,0.006829,0.229411,5.676453,87.058133,6.281541
0.025000,14.018560,6.524960,0.018286,0.458277,9.154621,139.126694,6.278900
0.025000,14.035711,6.524853,0.035437,0.686050,9.110927,-1.747757,6.274972
0.025000,14.058515,6.524607,0.058242,0.912183,9.045335,-2.623671,6.269797
0.025000,14.086914,6.524136,0.086645,1.136129,8.957841,-3.499773,6.263428
0.025000,14.120838,6.523338,0.120579,1.357343,8.848525,-4.372618,6.255932
0.025000,14.160201,6.522096,0.159961,1.575283,8.717620,-5.236210,6.247388
0.025000,14.204899,6.520282,0.204696,1.789422,8.565571,-6.081948,6.237890
0.025000,14.254817,6.517759,0.254677,1.999250,8.393098,-6.898909,6.227542
0.025000,14.309821,6.514388,0.309784,2.204281,8.201237,-7.674469,6.216462
0.025000,14.369764,6.510028,0.369886,2.404065,7.991354,-8.395326,6.204777
0.025000,14.434487,6.504544,0.434841,2.598193,7.765135,-9.048749,6.192625
0.025000,14.503818,6.497809,0.504499,2.786306,7.524534,-9.624034,6.180154
0.025000,14.577577,6.489707,0.578701,2.968098,7.271684,-10.113995,6.167517
0.025000,14.655575,6.480140,0.657284,3.143318,7.008776,-10.516309,6.154875
0.025000,14.737620,6.469027,0.740078,3.311766,6.737911,-10.834634,6.142392
0.025000,14.823517,6.456313,0.826910,3.473289,6.460929,-11.079276,6.130238
0.025000,14.913069,6.441965,0.917605,3.627770,6.179241,-11.267496,6.118585
0.025000,15.006083,6.425981,1.011982,3.775111,5.893658,-11.423338,6.107606
0.025000,15.102369,6.408385,1.109863,3.915217,5.604229,-11.577151,6.097478
0.025000,15.201740,6.389236,1.211062,4.047970,5.310107,-11.764887,6.088381
0.025000,15.304014,6.368624,1.315392,4.173205,5.009423,-12.027376,6.080498
0.025000,15.409011,6.346675,1.422659,4.290685,4.699181,-12.409648,6.074017
0.025000,15.516556,6.323555,1.532661,4.400064,4.375170,-12.960468,6.069138
0.025000,15.626469,6.299467,1.645182,4.500861,4.031869,-13.732038,6.066068
0.025000,15.738567,6.274657,1.759993,4.592420,3.662376,-14.779718,6.065033
0.025000,15.852655,6.249416,1.876840,4.673879,3.258340,-16.161443,6.066280
0.025000,15.968522,6.224087,1.995443,4.744127,2.809937,-17.936111,6.070082
0.025000,16.085928,6.199060,2.115487,4.801776,2.305944,-20.159728,6.076746
0.025000,16.204599,6.174784,2.236616,4.845126,1.734013,-22.877215,6.086620
0.025000,16.324208,6.151764,2.358420,4.872160,1.081353,-26.106396,6.100103
0.025000,16.444365,6.130560,2.480434,4.880563,0.336137,-29.808674,6.117649
0.025000,16.564604,6.111786,2.602129,4.867818,-0.509817,-33.838122,6.139773
0.025000,16.684366,6.096098,2.722914,4.831411,-1.456272,-37.858209,6.167052
0.025000,16.803000,6.084177,2.842145,4.769245,-2.486657,-41.215416,6.200114
0.025000,16.919769,6.076698,2.959154,4.680347,-3.555889,-42.769272,6.239610
0.025000,17.033894,6.074299,3.073304,4.566004,-4.573726,-40.713499,0.002976
0.025000,17.144630,6.077538,3.184088,4.431345,-5.386351,-32.504988,0.057076
0.025000,17.251403,6.086871,3.291268,4.287214,-5.765254,-15.156100,0.118956
0.025000,17.353363,6.102561,3.394428,4.126407,-6.432276,-26.680875,0.187957
0.025000,17.449735,6.124567,3.493281,3.954087,-6.892824,-18.421954,0.262225
0.025000,17.541059,6.152877,3.588892,3.824451,-5.185410,68.296564,0.339655
0.025000,17.628783,6.187806,3.683314,3.776873,-1.903118,131.291698,0.418244
0.025000,17.714319,6.229906,3.778649,3.813419,1.461829,134.597889,0.495942
0.025000,17.798781,6.279844,3.876770,3.924825,4.456232,119.776120,0.570923
0.025000,17.882837,6.338220,3.979108,4.093520,6.747816,91.663326,0.641792
0.025000,17.966707,6.405412,4.086574,4.298656,8.205435,58.304788,0.707660
0.025000,18.050274,6.481502,4.199593,4.520733,8.883069,27.105354,0.768113
0.025000,18.133226,6.566278,4.318201,4.744355,8.944872,2.472133,0.823114
0.025000,18.215165,6.659287,4.442155,4.958142,8.551477,-15.735820,0.872858
0.025000,18.295590,6.759673,4.570785,5.145213,7.482872,-42.744198,0.918086
0.025000,18.370809,6.862896,4.698507,5.108857,-1.454267,-357.485562,0.964201
0.025000,18.440886,6.969084,4.825734,5.089077,-0.791206,26.522439,1.010797
0.025000,18.505914,7.078393,4.952923,5.087577,-0.059979,29.249086,1.057431
0.025000,18.566001,7.190994,5.080553,5.105198,0.704818,30.591888,1.103634
0.025000,18.621262,7.307055,5.209098,5.141804,1.464275,30.378276,1.148945
0.025000,18.671813,7.426723,5.339006,5.196311,2.180260,28.639390,1.192928
0.025000,18.717769,7.550114,5.470676,5.266820,2.820349,25.603551,1.235191
0.025000,18.759247,7.677292,5.604448,5.350856,3.361448,21.643992,1.275405
0.025000,18.796370,7.808274,5.740589,5.445642,3.791434,17.199433,1.313308
0.025000,18.829277,7.943023,5.879298,5.548361,4.108766,12.693271,1.348707
0.025000,18.858123,8.081459,6.020707,5.656375,4.320583,8.472686,1.381472
0.025000,18.883087,8.223466,6.164892,5.767376,4.440025,4.777665,1.411531
0.025000,18.904374,8.368903,6.311878,5.879463,4.483482,1.738271,1.438856
0.025000,18.922211,8.517616,6.461657,5.991170,4.468266,-0.608617,1.463458
0.025000,18.936851,8.669448,6.614193,6.101443,4.410927,-2.293561,1.485371
0.025000,18.948567,8.824246,6.769433,6.209598,4.326221,-3.388229,1.504647
