dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.630915,2.975000,0.001094,0.087500,3.500000,140.000000,6.283162
0.025000,1.635177,2.975000,0.005356,0.170484,3.319371,-7.225153,6.283052
0.025000,1.643702,2.974998,0.013880,0.340976,6.819667,140.011827,6.282831
0.025000,1.656489,2.974991,0.026667,0.511482,6.820258,0.023664,6.282502
0.025000,1.673539,2.974976,0.043718,0.682011,6.821146,0.035516,6.282063
0.025000,1.694853,2.974946,0.065032,0.852569,6.822331,0.047393,6.281516
0.025000,1.720432,2.974895,0.090611,1.023165,6.823814,0.059302,6.280861
0.025000,1.750277,2.974814,0.120456,1.193805,6.825595,0.071249,6.280100
0.025000,1.784389,2.974694,0.154568,1.364496,6.827676,0.083243,6.279235
0.025000,1.822770,2.974524,0.192950,1.535248,6.830058,0.095287,6.278265
0.025000,1.865421,2.974291,0.235601,1.706066,6.832743,0.107389,6.277193
0.025000,1.912344,2.973982,0.282525,1.876960,6.835732,0.119551,6.276022
0.025000,1.963541,2.973583,0.333724,2.047935,6.839026,0.131780,6.274752
0.025000,2.019014,2.973077,0.389199,2.219001,6.842628,0.144075,6.273386
0.025000,2.078765,2.972448,0.448953,2.390165,6.846539,0.156440,6.271927
0.025000,2.142796,2.971677,0.512989,2.561434,6.850761,0.168875,6.270376
0.025000,2.211110,2.970746,0.581309,2.732816,6.855295,0.181380,6.268738
0.025000,2.283709,2.969635,0.653917,2.904320,6.860144,0.193952,6.267014
0.025000,2.360597,2.968321,0.730816,3.075952,6.865309,0.206590,6.265208
0.025000,2.441776,2.966785,0.812009,3.247722,6.870791,0.219289,6.263323
0.025000,2.527248,2.965003,0.897500,3.419637,6.876592,0.232046,6.261363
0.025000,2.617017,2.962953,0.987292,3.591705,6.882714,0.244853,6.259331
0.025000,2.711086,2.960609,1.081391,3.763934,6.889156,0.257705,6.257232
0.025000,2.809459,2.957949,1.179799,3.936332,6.895921,0.270594,6.255069
0.025000,2.912137,2.954947,1.282522,4.108907,6.903009,0.283511,6.252848
0.025000,3.019126,2.951578,1.389563,4.281667,6.910420,0.296448,6.250571
0.025000,3.130428,2.947816,1.500929,4.454621,6.918155,0.309395,6.248245
0.025000,3.246047,2.943637,1.616623,4.627777,6.926214,0.322341,6.245874
0.025000,3.365986,2.939015,1.736652,4.801142,6.934595,0.335276,6.243463
0.025000,3.490250,2.933923,1.861020,4.974724,6.943300,0.348191,6.241017
0.025000,3.618842,2.928338,1.989733,5.148532,6.952327,0.361074,6.238542
0.025000,3.751767,2.922232,2.122798,5.322574,6.961675,0.373915,6.236044
0.025000,3.889027,2.915583,2.260219,5.496858,6.971343,0.386705,6.233528
0.025000,4.030628,2.908366,2.402004,5.671391,6.981328,0.399435,6.231001
0.025000,4.176574,2.900557,2.548158,5.846182,6.991631,0.412097,6.228469
0.025000,4.326869,2.892133,2.698689,6.021238,7.002248,0.424683,6.225938
0.025000,4.481518,2.883073,2.853604,6.196567,7.013178,0.437188,6.223416
0.025000,4.640526,2.873357,3.012908,6.372178,7.024418,0.449607,6.220908
0.025000,4.803897,2.862964,3.176610,6.548077,7.035966,0.461938,6.218422
0.025000,4.971638,2.851877,3.344717,6.724272,7.047821,0.474180,6.215965
0.025000,5.142678,2.840155,3.516158,6.857629,5.334273,-68.541898,6.213560
0.025000,5.314867,2.827944,3.688780,6.904881,1.890087,-137.767447,6.211240
0.025000,5.487132,2.815336,3.861505,6.909018,0.165454,-68.985320,6.209021
0.025000,5.659472,2.802346,4.034334,6.913155,0.165478,0.000962,6.206903
0.025000,5.831888,2.788991,4.207266,6.917292,0.165489,0.000431,6.204886
0.025000,6.004380,2.775290,4.380302,6.921429,0.165488,-0.000031,6.202969
0.025000,6.176950,2.761258,4.553441,6.925566,0.165477,-0.000429,6.201154
0.025000,6.349598,2.746913,4.726684,6.929703,0.165458,-0.000766,6.199439
0.025000,6.522324,2.732272,4.900030,6.933838,0.165432,-0.001044,6.197826
0.025000,6.695131,2.717352,5.073479,6.937973,0.165401,-0.001267,6.196313
