dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,22.999149,6.525000,0.001094,0.087500,3.500000,140.000000,3.141447
0.025000,22.995428,6.525002,0.004815,0.148841,2.453646,-41.854155,3.140809
0.025000,22.987989,6.525012,0.012253,0.297520,5.947171,139.741006,3.139529
0.025000,22.976843,6.525046,0.023400,0.445874,5.934132,-0.521555,3.137599
0.025000,22.962000,6.525125,0.038243,0.593733,5.914354,-0.791155,3.135007
0.025000,22.943477,6.525277,0.056766,0.740922,5.887564,-1.071589,3.131737
0.025000,22.921297,6.525539,0.078947,0.887257,5.853395,-1.366768,3.127768
0.025000,22.895487,6.525957,0.104761,1.032541,5.811374,-1.680823,3.123073
0.025000,22.866080,6.526581,0.134175,1.176564,5.760915,-2.018342,3.117624
0.025000,22.833114,6.527474,0.167152,1.319097,5.701313,-2.384112,3.111382
0.025000,22.796638,6.528705,0.203650,1.459890,5.631722,-2.783618,3.104307
0.025000,22.756705,6.530353,0.243616,1.598669,5.551157,-3.222619,3.096347
0.025000,22.713380,6.532507,0.286995,1.735130,5.458470,-3.707466,3.087448
0.025000,22.666738,6.535265,0.333718,1.868939,5.352343,-4.245065,3.077544
0.025000,22.616866,6.538737,0.383711,1.999721,5.231282,-4.842469,3.066562
0.025000,22.563864,6.543043,0.436888,2.127061,5.093605,-5.507086,3.054418
0.025000,22.507849,6.548314,0.493150,2.250497,4.937456,-6.245934,3.041016
0.025000,22.448956,6.554694,0.552388,2.369518,4.760830,-7.065053,3.026248
0.025000,22.387339,6.562336,0.614477,2.483559,4.561617,-7.968518,3.009994
0.025000,22.323177,6.571408,0.679277,2.592001,4.337708,-8.956345,2.992117
0.025000,22.256674,6.582086,0.746632,2.694180,4.087149,-10.022371,2.972464
0.025000,22.188064,6.594558,0.816366,2.789390,3.808406,-11.149715,2.950865
0.025000,22.117610,6.609020,0.888289,2.876909,3.500760,-12.305861,2.927133
0.025000,22.045611,6.625677,0.962190,2.956032,3.164904,-13.434240,2.901063
0.025000,21.972398,6.644736,1.037843,3.026127,2.803799,-14.444179,2.872434
0.025000,21.898336,6.666409,1.115011,3.086723,2.423849,-15.197996,2.841016
0.025000,21.823818,6.690903,1.193452,3.137634,2.036444,-15.496198,2.806572
0.025000,21.749257,6.718427,1.272930,3.179130,1.659832,-15.064508,2.768872
0.025000,21.675076,6.749183,1.353234,3.212158,1.321126,-13.548225,2.727711
0.025000,21.601685,6.783375,1.434199,3.238608,1.057999,-10.525085,2.682927
0.025000,21.529459,6.821219,1.515739,3.261587,0.919171,-5.553125,2.634437
0.025000,21.458711,6.862954,1.597880,3.285648,0.962411,1.729609,2.582267
0.025000,21.389667,6.908877,1.680802,3.316860,1.248512,11.444039,2.526591
0.025000,21.322453,6.959367,1.764867,3.362616,1.830212,23.268007,2.467764
0.025000,21.257096,7.014918,1.850643,3.431034,2.736740,36.261113,2.406339
0.025000,21.193554,7.076158,1.938892,3.529974,3.957594,48.834167,2.343060
0.025000,21.131762,7.143837,2.030537,3.665776,5.432097,58.980104,2.278826
0.025000,21.071693,7.218789,2.126588,3.842069,7.051689,64.783698,2.214625
0.025000,21.013411,7.301858,2.228064,4.059016,8.677877,65.047530,2.151446
0.025000,20.957094,7.393815,2.335896,4.313297,10.171255,59.735098,2.090202
0.025000,20.903356,7.494625,2.450134,4.569508,10.248453,3.087930,2.032004
0.025000,20.853096,7.603170,2.569751,4.784671,8.606506,-65.677887,1.977986
0.025000,20.806758,7.718534,2.694074,4.972914,7.529716,-43.071604,1.928557
0.025000,20.764407,7.840277,2.822972,5.155946,7.321267,-8.337959,1.883591
0.025000,20.726054,7.967877,2.956211,5.329559,6.944522,-15.069795,1.842857
0.025000,20.691655,8.100782,3.093496,5.491392,6.473317,-18.848194,1.806070
0.025000,20.661111,8.238446,3.234507,5.640454,5.962493,-20.432967,1.772916
0.025000,20.634279,8.380348,3.378925,5.776691,5.449495,-20.519913,1.743085
0.025000,20.610981,8.526013,3.526441,5.900638,4.957855,-19.665618,1.716275
0.025000,20.591017,8.675010,3.676770,6.013161,4.500917,-18.277514,1.692210
0.025000,20.574173,8.826962,3.829652,6.115287,4.085057,-16.634396,1.670634
0.025000,20.560227,8.981536,3.984854,6.208091,3.712156,-14.916032,1.651322
0.025000,20.548955,9.138447,4.142170,6.292625,3.381378,-13.231138,1.634070
0.025000,20.540133,9.297450,4.301417,6.369885,3.090373,-11.640186,1.618703
0.025000,20.533543,9.458335,4.462436,6.440786,2.836068,-10.172190,1.605065
0.025000,20.528971,9.620925,4.625091,6.506165,2.615155,-8.836525,1.593021
0.025000,20.526211,9.785071,4.789260,6.566775,2.424383,-7.630885,1.582456
0.025000,20.525061,9.950649,4.954842,6.623293,2.260723,-6.546389,1.573268
0.025000,20.525266,10.118445,5.122638,6.711826,3.541313,51.223569,1.566328
0.025000,20.526542,10.287137,5.291336,6.747908,1.443290,-83.920899,1.560180
0.025000,20.528838,10.456071,5.460285,6.757969,0.402428,-41.634504,1.554277
0.025000,20.532115,10.625241,5.629487,6.768080,0.404449,0.080862,1.548620
0.025000,20.536334,10.794645,5.798943,6.778234,0.406176,0.069071,1.543212
