dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.626143,7.475000,0.001094,0.087500,3.500000,140.000000,0.000137
0.025000,1.631132,7.475002,0.006083,0.199562,4.482472,39.298870,0.000736
0.025000,1.641114,7.475016,0.016064,0.399256,7.987753,140.211268,0.001938
0.025000,1.656094,7.475058,0.031045,0.599215,7.998377,0.424954,0.003748
0.025000,1.676083,7.475157,0.051034,0.799577,8.014467,0.643599,0.006176
0.025000,1.701095,7.475350,0.076046,1.000482,8.036207,0.869574,0.009237
0.025000,1.731145,7.475683,0.106098,1.202078,8.063851,1.105762,0.012946
0.025000,1.766254,7.476215,0.141211,1.404521,8.097718,1.354692,0.017325
0.025000,1.806445,7.477013,0.181410,1.607976,8.138205,1.619494,0.022397
0.025000,1.851746,7.478159,0.226726,1.812621,8.185788,1.903297,0.028193
0.025000,1.902187,7.479746,0.277192,2.018647,8.241022,2.209375,0.034746
0.025000,1.957803,7.481883,0.332849,2.226260,8.304557,2.541416,0.042093
0.025000,2.018630,7.484694,0.393741,2.435689,8.377138,2.903211,0.050281
0.025000,2.084710,7.488319,0.459920,2.647179,8.459606,3.298715,0.059359
0.025000,2.156087,7.492919,0.531445,2.861002,8.552908,3.732108,0.069384
0.025000,2.232808,7.498674,0.608382,3.077454,8.658092,4.207344,0.080420
0.025000,2.314922,7.505791,0.690803,3.296861,8.776297,4.728218,0.092539
0.025000,2.402479,7.514501,0.778793,3.519580,8.908746,5.297944,0.105822
0.025000,2.495531,7.525066,0.872443,3.745998,9.056702,5.918243,0.120359
0.025000,2.594128,7.537782,0.971856,3.976533,9.221429,6.589082,0.136251
0.025000,2.698316,7.552984,1.077147,4.211636,9.404103,7.306974,0.153609
0.025000,2.808134,7.571048,1.188441,4.451778,9.605687,8.063354,0.172557
0.025000,2.923613,7.592400,1.305878,4.697447,9.826749,8.842473,0.193228
0.025000,3.044765,7.617518,1.429606,4.949127,10.067190,9.617614,0.215770
0.025000,3.171578,7.646941,1.559788,5.207273,10.325872,10.347294,0.240341
0.025000,3.304008,7.681271,1.696594,5.472276,10.600118,10.969837,0.267108
0.025000,3.441962,7.721177,1.840205,5.744402,10.885040,11.396871,0.296245
0.025000,3.585285,7.767402,1.990798,6.023721,11.172729,11.507565,0.327927
0.025000,3.733738,7.820756,2.148548,6.310003,11.451299,11.142821,0.362325
0.025000,3.886976,7.882113,2.313613,6.602601,11.703915,10.104650,0.399593
0.025000,4.044518,7.952395,2.486120,6.900301,11.907998,8.163312,0.439856
0.025000,4.205720,8.032547,2.666150,7.201175,12.034977,5.079138,0.483191
0.025000,4.369751,8.123503,2.853711,7.502453,12.051107,0.645200,0.529608
0.025000,4.535570,8.226136,3.048722,7.800452,11.919973,-5.245368,0.579029
0.025000,4.701925,8.341189,3.250988,8.090631,11.607165,-12.512318,0.631262
0.025000,4.867370,8.469216,3.460183,8.367810,11.087143,-20.800845,0.685990
0.025000,5.030307,8.610506,3.675848,8.626594,10.351351,-29.431693,0.742765
0.025000,5.189064,8.765039,3.897398,8.861980,9.415455,-37.435850,0.801014
0.025000,5.341991,8.932459,4.124149,9.070050,8.322813,-43.705662,0.860072
0.025000,5.487564,9.112094,4.355364,9.248591,7.141624,-47.247590,0.919217
0.025000,5.623669,9.301796,4.588840,9.339075,3.619337,-140.891442,0.977367
0.025000,5.748067,9.497886,4.821060,9.288788,-2.011471,-225.232344,1.033220
0.025000,5.860116,9.697754,5.050194,9.165349,-4.937531,-117.042400,1.086060
0.025000,5.960320,9.900150,5.276037,9.033728,-5.264850,-13.092771,1.135685
0.025000,6.049354,10.104035,5.498514,8.899080,-5.385911,-4.842429,1.182024
0.025000,6.127988,10.308579,5.717652,8.765519,-5.342454,1.738272,1.225102
0.025000,6.197035,10.513142,5.933554,8.636074,-5.177814,6.585596,1.265020
0.025000,6.257304,10.717249,6.146374,8.512790,-4.931331,9.859329,1.301929
0.025000,6.309573,10.920561,6.356296,8.396901,-4.635584,11.829897,1.336010
0.025000,6.354570,11.122841,6.563521,8.289008,-4.315705,12.795168,1.367457
0.025000,6.392967,11.323940,6.768253,8.189260,-3.989932,13.030892,1.396471
0.025000,6.425376,11.523766,6.970690,8.097491,-3.670737,12.767807,1.423245
0.025000,6.452348,11.722276,7.171024,8.013339,-3.366086,12.186043,1.447965
0.025000,6.474381,11.919457,7.369432,7.936324,-3.080611,11.419009,1.470807
0.025000,6.491920,12.115321,7.566080,7.865910,-2.816579,10.561268,1.491930
0.025000,6.505363,12.309895,7.761118,7.801543,-2.574655,9.676944,1.511483
0.025000,6.515066,12.503219,7.954685,7.742682,-2.354463,8.807717,1.529600
0.025000,6.521351,12.695337,8.146905,7.688807,-2.154989,7.978954,1.546402
0.025000,6.524503,12.886296,8.337891,7.639435,-1.974866,7.204917,1.562000
0.025000,6.525160,13.065166,8.516762,7.154822,-19.384517,-696.386052,1.565865
0.025000,6.526986,13.226978,8.678584,6.472888,-27.277379,-315.714484,1.553010
0.025000,6.530939,13.387873,8.839527,6.437738,-1.405980,1034.855964,1.539297
0.025000,6.537134,13.547750,8.999524,6.399882,-1.514258,-4.331110,1.524662
0.025000,6.545691,13.706496,9.158501,6.359064,-1.632706,-4.737933,1.509031
0.025000,6.556736,13.863984,9.316376,6.315013,-1.762053,-5.173891,1.492326
0.025000,6.570396,14.020074,9.473062,6.267439,-1.902951,-5.635891,1.474460
0.025000,6.586802,14.174606,9.628463,6.216042,-2.055904,-6.118145,1.455342
0.025000,6.606089,14.327407,9.782476,6.160512,-2.221176,-6.610884,1.434869
0.025000,6.628390,14.478281,9.934990,6.100546,-2.398652,-7.099025,1.412934
0.025000,6.653839,14.627016,10.085886,6.035854,-2.587657,-7.560187,1.389422
0.025000,6.682566,14.773378,10.235041,5.966186,-2.786721,-7.962557,1.364211
0.025000,6.714695,14.917115,10.382325,5.891355,-2.993277,-8.262242,1.337175
0.025000,6.750345,15.057955,10.527607,5.811272,-3.203292,-8.400621,1.308186
0.025000,6.789620,15.195612,10.670757,5.726001,-3.410840,-8.301897,1.277119
0.025000,6.832611,15.329788,10.811652,5.635810,-3.607639,-7.871982,1.243852
0.025000,6.879395,15.460180,10.950183,5.541244,-3.782629,-6.999602,1.208280
0.025000,6.930026,15.586490,11.086263,5.443203,-3.921673,-5.561746,1.170317
0.025000,6.984543,15.708434,11.219838,5.343014,-4.007562,-3.435545,1.129912
0.025000,7.042968,15.825754,11.350901,5.242500,-4.020528,-0.518674,1.087056
0.025000,7.105309,15.938233,11.479501,5.144013,-3.939506,3.240908,1.041799
0.025000,7.171574,16.045706,11.605761,5.050405,-3.744310,7.807838,0.994259
0.025000,7.241774,16.148071,11.729885,4.964936,-3.418764,13.021843,0.944636
0.025000,7.315938,16.245290,11.852162,4.891075,-2.954455,18.572336,0.893212
0.025000,7.394119,16.337385,11.972967,4.832214,-2.354420,24.001403,0.840353
0.025000,7.476211,16.424239,12.092477,4.780402,-2.072469,11.278049,0.786621
0.025000,7.561541,16.505313,12.210180,4.708129,-2.890950,-32.739257,0.732973
0.025000,7.649149,16.580112,12.325376,4.607835,-4.011751,-44.832018,0.680470
0.025000,7.738502,16.648752,12.438050,4.506955,-4.035204,-0.938143,0.629774
0.025000,7.829376,16.711644,12.548565,4.420616,-3.453538,23.266671,0.581239
0.025000,7.921518,16.769160,12.657185,4.344773,-3.033732,16.792244,0.535121
0.025000,8.014637,16.821638,12.764073,4.275528,-2.769800,10.557254,0.491581
0.025000,8.108415,16.869388,12.869308,4.209415,-2.644530,5.010809,0.450696
0.025000,8.202513,16.912705,12.972897,4.143554,-2.634426,0.404152,0.412472
0.025000,8.296579,16.951867,13.074790,4.075703,-2.714029,-3.184120,0.376861
0.025000,8.390262,16.987147,13.174895,4.004227,-2.859034,-5.800194,0.343774
0.025000,8.483218,17.018809,13.273096,3.928024,-3.048138,-7.564153,0.313095
0.025000,8.575119,17.047113,13.369257,3.846428,-3.263837,-8.627962,0.284695
0.025000,8.665656,17.072311,13.463235,3.759116,-3.492495,-9.146313,0.258432
