dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.626010,7.475000,0.001094,0.087500,3.500000,140.000000,0.000000
0.025000,1.630385,7.475000,0.005469,0.175000,3.500000,0.000000,0.000000
0.025000,1.639135,7.475000,0.014219,0.350000,7.000000,140.000000,0.000000
0.025000,1.652260,7.475000,0.027344,0.525000,7.000000,-0.000000,0.000000
0.025000,1.669760,7.475000,0.044844,0.700000,7.000000,0.000000,0.000000
0.025000,1.691635,7.475000,0.066719,0.875000,7.000000,-0.000000,0.000000
0.025000,1.717885,7.475000,0.092969,1.050000,7.000000,-0.000000,0.000000
0.025000,1.748510,7.475000,0.123594,1.225000,7.000000,0.000000,0.000000
0.025000,1.783510,7.475000,0.158594,1.400000,7.000000,0.000000,0.000000
0.025000,1.822885,7.475000,0.197969,1.575000,7.000000,-0.000000,0.000000
0.025000,1.866635,7.475000,0.241719,1.750000,7.000000,0.000000,0.000000
0.025000,1.914760,7.475000,0.289844,1.925000,7.000000,-0.000000,0.000000
0.025000,1.967260,7.475000,0.342344,2.100000,7.000000,0.000000,0.000000
0.025000,2.024135,7.475000,0.399219,2.275000,7.000000,0.000000,0.000000
0.025000,2.085385,7.475000,0.460469,2.450000,7.000000,0.000000,0.000000
0.025000,2.151010,7.475000,0.526094,2.625000,7.000000,0.000000,0.000000
0.025000,2.221010,7.475000,0.596094,2.800000,7.000000,0.000000,0.000000
0.025000,2.295385,7.475000,0.670469,2.975000,7.000000,-0.000000,0.000000
0.025000,2.374135,7.475000,0.749219,3.150000,7.000000,-0.000000,0.000000
0.025000,2.457260,7.475000,0.832344,3.325000,7.000000,0.000000,0.000000
0.025000,2.544760,7.475000,0.919844,3.500000,7.000000,0.000000,0.000000
0.025000,2.636635,7.475000,1.011719,3.675000,7.000000,-0.000000,0.000000
0.025000,2.732885,7.475000,1.107969,3.850000,7.000000,-0.000000,0.000000
0.025000,2.833510,7.475000,1.208594,4.025000,7.000000,0.000000,0.000000
0.025000,2.938510,7.475000,1.313594,4.200000,7.000000,0.000000,0.000000
0.025000,3.047885,7.475000,1.422969,4.375000,7.000000,0.000000,0.000000
0.025000,3.161635,7.475000,1.536719,4.550000,7.000000,-0.000000,0.000000
0.025000,3.279760,7.475000,1.654844,4.725000,7.000000,0.000000,0.000000
0.025000,3.402260,7.475000,1.777344,4.900000,7.000000,0.000000,0.000000
