dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,14.000718,4.475000,0.001094,0.087500,3.500000,140.000000,6.282868
0.025000,14.003733,4.474997,0.004108,0.120589,1.323546,-87.058174,6.281541
0.025000,14.009776,4.474979,0.010152,0.241723,4.845372,140.873062,6.278900
0.025000,14.018875,4.474922,0.019250,0.363949,4.889054,1.747288,6.274972
0.025000,14.031069,4.474790,0.031446,0.487815,4.954630,2.623005,6.269797
0.025000,14.046414,4.474536,0.046792,0.613868,5.042104,3.498961,6.263428
0.025000,14.064975,4.474099,0.065359,0.742653,5.151396,4.371716,6.255932
0.025000,14.086832,4.473409,0.087226,0.874710,5.282279,5.235289,6.247388
0.025000,14.112075,4.472384,0.112491,1.010567,5.434306,6.081087,6.237890
0.025000,14.140807,4.470932,0.141259,1.150736,5.606760,6.898180,6.227542
0.025000,14.173139,4.468950,0.173652,1.295701,5.798609,7.673954,6.216462
0.025000,14.209191,4.466327,0.209799,1.445914,6.008486,8.395091,6.204777
0.025000,14.249093,4.462945,0.249844,1.601781,6.234708,9.048845,6.192625
0.025000,14.292978,4.458680,0.293935,1.763664,6.475320,9.624499,6.180154
0.025000,14.340985,4.453405,0.342232,1.931869,6.728191,10.114839,6.167517
0.025000,14.393260,4.446992,0.394898,2.106647,6.991129,10.517526,6.154875
0.025000,14.449947,4.439312,0.452103,2.288198,7.262034,10.836175,6.142392
0.025000,14.511196,4.430244,0.514020,2.476675,7.539061,11.081083,6.130238
0.025000,14.577159,4.419673,0.580825,2.672195,7.820798,11.269477,6.118585
0.025000,14.647992,4.407499,0.652696,2.874855,8.106432,11.425380,6.107606
0.025000,14.723854,4.393633,0.729815,3.084753,8.395910,11.579119,6.097478
0.025000,14.804912,4.378010,0.812365,3.302005,8.690076,11.766631,6.088381
0.025000,14.891343,4.360589,0.900535,3.526775,8.990794,12.028710,6.080498
0.025000,14.983337,4.341357,0.994517,3.759301,9.301053,12.410361,6.074017
0.025000,15.081101,4.320338,1.094516,3.999928,9.625060,12.960305,6.069138
0.025000,15.184867,4.297596,1.200744,4.249136,9.968327,13.730671,6.066068
0.025000,15.294894,4.273244,1.313433,4.507579,10.337745,14.776727,6.065033
0.025000,15.411478,4.247452,1.432836,4.776121,10.741652,16.156265,6.066280
0.025000,15.534959,4.220459,1.559233,5.055867,11.189851,17.927978,6.070082
0.025000,15.665727,4.192588,1.692938,5.348206,11.693541,20.147587,6.076746
0.025000,15.804230,4.164261,1.834309,5.654831,12.265031,22.859615,6.086620
0.025000,15.950983,4.136025,1.983753,5.977758,12.917066,26.081366,6.100103
0.025000,16.106563,4.108583,2.141735,6.319293,13.661404,29.773551,6.117649
0.025000,16.271615,4.082831,2.308784,6.681947,14.506141,33.789466,6.139773
0.025000,16.446827,4.059907,2.485489,7.068220,15.450936,37.791784,6.167052
0.025000,16.632899,4.041246,2.672494,7.480197,16.479099,41.126534,6.200114
0.025000,16.830468,4.028644,2.870465,7.918834,17.545446,42.653903,6.239610
0.025000,17.039994,4.024308,3.080036,8.382826,18.559712,40.570621,0.002976
0.025000,17.261572,4.030876,3.301712,8.867032,19.368235,32.340937,0.057076
0.025000,17.494689,4.051359,3.535727,9.360607,19.743001,14.990617,0.118956
0.025000,17.736411,4.088666,3.780310,9.783331,16.908965,-113.361452,0.187957
0.025000,17.981158,4.144645,4.031378,10.042694,10.374489,-261.379024,0.262225
0.025000,18.224040,4.219994,4.285679,10.172049,5.174200,-208.011548,0.339655
0.025000,18.461403,4.314509,4.541167,10.219521,1.898890,-131.012413,0.418244
0.025000,18.689832,4.426888,4.795743,10.183057,-1.458565,-134.298185,0.495942
0.025000,18.906620,4.554969,5.047541,10.071894,-4.446527,-119.518486,0.570923
0.025000,19.110033,4.696120,5.295129,9.903549,-6.733788,-91.490428,0.641792
0.025000,19.299324,4.847648,5.537600,9.698813,-8.189454,-58.226652,0.707660
0.025000,19.474572,5.007095,5.774528,9.477135,-8.867094,-27.105621,0.768113
0.025000,19.636423,5.172399,6.005875,9.253881,-8.930177,-2.523312,0.823114
0.025000,19.785811,5.341876,6.231794,9.036746,-8.685386,9.791643,0.872858
0.025000,19.924194,5.514623,6.453133,8.853593,-7.326125,54.370431,0.918086
0.025000,20.055076,5.694245,6.675381,8.889902,1.452376,351.140044,0.964201
0.025000,20.177760,5.880154,6.898122,8.909657,0.790161,-26.488575,1.010797
0.025000,20.291662,6.071614,7.120901,8.911154,0.059899,-29.210510,1.057431
0.025000,20.396343,6.267768,7.343240,8.893557,-0.703887,-30.551446,1.103634
0.025000,20.491544,6.467682,7.564665,8.856998,-1.462368,-30.339235,1.148945
0.025000,20.577192,6.670395,7.784729,8.802560,-2.177489,-28.604842,1.192928
0.025000,20.653402,6.874964,8.003033,8.732138,-2.816887,-25.575911,1.235191
0.025000,20.720458,7.080508,8.219238,8.648201,-3.357503,-21.624643,1.275405
0.025000,20.778787,7.286237,8.433076,8.553520,-3.787220,-17.188666,1.313308
0.025000,20.828927,7.491473,8.644348,8.450908,-4.104481,-12.690434,1.348707
0.025000,20.871493,7.695659,8.852923,8.342998,-4.316393,-8.476495,1.381472
0.025000,20.907142,7.898350,9.058726,8.232097,-4.436057,-4.786534,1.411531
0.025000,20.936556,8.099210,9.261728,8.120101,-4.479822,-1.750603,1.438856
0.025000,20.960413,8.297996,9.461940,8.008477,-4.464966,0.594241,1.463458
0.025000,20.979376,8.494540,9.659397,7.898277,-4.408009,2.278279,1.485371
0.025000,20.994084,8.688739,9.854152,7.790185,-4.323687,3.372874,1.504647
0.025000,21.005145,8.880534,10.046266,7.684573,-4.224473,3.968539,1.521346
0.025000,21.013135,9.069905,10.235805,7.581561,-4.120493,4.159192,1.535532
0.025000,21.018597,9.256852,10.422832,7.481068,-4.019683,4.032407,1.547267
0.025000,21.022043,9.441391,10.607403,7.382867,-3.928071,3.664475,1.556605
0.025000,21.023957,9.623546,10.789569,7.286614,-3.850100,3.118850,1.563596
0.025000,21.024798,9.803342,10.969366,7.191891,-3.788932,2.446743,1.568277
0.025000,21.024999,9.980797,11.146822,7.098223,-3.746709,1.688916,1.570673
0.025000,21.025000,10.155834,11.321858,7.001473,-3.869988,-4.931188,1.570796
0.025000,21.025000,10.330834,11.496858,7.000000,-0.058940,152.441952,1.570796
0.025000,21.025000,10.505834,11.671858,7.000000,-0.000000,2.357585,1.570796
0.025000,21.025000,10.680834,11.846858,7.000000,0.000000,0.000000,1.570796
0.025000,21.025000,10.855834,12.021858,7.000000,0.000000,-0.000000,1.570796
0.025000,21.025000,11.030834,12.196858,7.000000,0.000000,-0.000000,1.570796
0.025000,21.025000,11.205834,12.371858,7.000000,-0.000000,-0.000000,1.570796
0.025000,21.025000,11.380834,12.546858,7.000000,-0.000000,-0.000000,1.570796
0.025000,21.025000,11.555834,12.721858,7.000000,-0.000000,0.000000,1.570796
0.025000,21.025000,11.730834,12.896858,7.000000,0.000000,0.000000,1.570796
0.025000,21.025000,11.905834,13.071858,7.000000,-0.000000,-0.000000,1.570796
0.025000,21.025000,12.080834,13.246858,7.000000,0.000000,0.000000,1.570796
0.025000,21.025000,12.255834,13.421858,7.000000,-0.000000,-0.000000,1.570796
0.025000,21.025000,12.430834,13.596858,7.000000,0.000000,0.000000,1.570796
