dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.630875,2.975000,0.001094,0.087500,3.500000,140.000000,6.283181
0.025000,1.635227,2.975000,0.005446,0.174108,3.464313,-1.427470,6.283159
0.025000,1.643933,2.975000,0.014152,0.348219,6.964465,140.006063,6.283116
0.025000,1.656991,2.974998,0.027210,0.522339,6.964768,0.012124,6.283051
0.025000,1.674403,2.974995,0.044622,0.696469,6.965223,0.018186,6.282965
0.025000,1.696168,2.974989,0.066388,0.870615,6.965829,0.024245,6.282858
0.025000,1.722288,2.974979,0.092507,1.044780,6.966586,0.030303,6.282730
0.025000,1.752762,2.974963,0.122981,1.218967,6.967495,0.036359,6.282583
0.025000,1.787591,2.974939,0.157811,1.393181,6.968556,0.042413,6.282417
0.025000,1.826777,2.974905,0.196996,1.567425,6.969767,0.048463,6.282232
0.025000,1.870320,2.974859,0.240539,1.741703,6.971130,0.054511,6.282030
0.025000,1.918220,2.974799,0.288439,1.916019,6.972644,0.060555,6.281811
0.025000,1.970479,2.974721,0.340699,2.090377,6.974309,0.066595,6.281576
0.025000,2.027099,2.974622,0.397318,2.264780,6.976124,0.072631,6.281327
0.025000,2.088080,2.974501,0.458299,2.439232,6.978091,0.078663,6.281064
0.025000,2.153423,2.974354,0.523643,2.613738,6.980208,0.084690,6.280790
0.025000,2.223130,2.974177,0.593350,2.788300,6.982476,0.090713,6.280504
0.025000,2.297203,2.973967,0.667423,2.962922,6.984894,0.096731,6.280210
0.025000,2.375643,2.973722,0.745863,3.137609,6.987463,0.102745,6.279907
0.025000,2.458451,2.973437,0.828672,3.312363,6.990182,0.108754,6.279599
0.025000,2.545630,2.973111,0.915852,3.487189,6.993051,0.114759,6.279287
0.025000,2.637182,2.972740,1.007404,3.662091,6.996070,0.120760,6.278972
0.025000,2.733108,2.972320,1.103331,3.837072,6.999239,0.126757,6.278657
0.025000,2.833410,2.971850,1.203635,4.012136,7.002558,0.132751,6.278343
0.025000,2.938091,2.971327,1.308317,4.187287,7.006026,0.138742,6.278033
0.025000,3.047153,2.970748,1.417380,4.362528,7.009644,0.144732,6.277728
0.025000,3.160597,2.970112,1.530827,4.537863,7.013412,0.150720,6.277432
0.025000,3.278428,2.969417,1.648659,4.713296,7.017330,0.156709,6.277147
0.025000,3.400646,2.968662,1.770880,4.888831,7.021398,0.162698,6.276875
0.025000,3.527255,2.967847,1.897492,5.064472,7.025615,0.168690,6.276618
0.025000,3.658258,2.966970,2.028497,5.240221,7.029982,0.174686,6.276379
0.025000,3.793657,2.966034,2.163899,5.416084,7.034499,0.180688,6.276162
0.025000,3.933455,2.965038,2.303701,5.592063,7.039167,0.186696,6.275968
0.025000,4.077655,2.963985,2.447905,5.768162,7.043984,0.192714,6.275801
0.025000,4.226261,2.962877,2.596514,5.944386,7.048953,0.198743,6.275665
0.025000,4.379275,2.961718,2.749533,6.120738,7.054073,0.204785,6.275561
0.025000,4.536701,2.960511,2.906963,6.297222,7.059344,0.210843,6.275493
0.025000,4.698542,2.959264,3.068809,6.473841,7.064767,0.216920,6.275465
0.025000,4.864802,2.957980,3.235074,6.650599,7.070342,0.223018,6.275479
0.025000,5.035484,2.956670,3.405762,6.827501,7.076071,0.229139,6.275540
0.025000,5.209498,2.955348,3.579781,6.960765,5.330566,-69.820200,6.275650
0.025000,5.384657,2.954042,3.754945,7.006547,1.831284,-139.971270,6.275810
0.025000,5.559867,2.952767,3.930159,7.008558,0.080409,-70.034992,6.276019
0.025000,5.735126,2.951533,4.105423,7.010568,0.080422,0.000516,6.276276
0.025000,5.910437,2.950348,4.280737,7.012579,0.080438,0.000635,6.276583
0.025000,6.085798,2.949220,4.456102,7.014591,0.080457,0.000752,6.276939
0.025000,6.261210,2.948160,4.631517,7.016602,0.080478,0.000866,6.277344
0.025000,6.436672,2.947174,4.806983,7.018615,0.080503,0.000978,6.277798
0.025000,6.612186,2.946272,4.982498,7.020628,0.080530,0.001088,6.278301
0.025000,6.787750,2.945462,5.158064,7.022642,0.080560,0.001193,6.278854
0.025000,6.963365,2.944753,5.333681,7.024657,0.080592,0.001295,6.279455
0.025000,7.139031,2.944154,5.509348,7.026673,0.080627,0.001393,6.280105
0.025000,7.314747,2.943674,5.685065,7.028689,0.080664,0.001486,6.280805
0.025000,7.490515,2.943321,5.860833,7.030707,0.080704,0.001575,6.281554
0.025000,7.666333,2.943103,6.036651,7.032726,0.080745,0.001659,6.282352
0.025000,7.842201,2.943031,6.212519,7.034745,0.080788,0.001736,0.000014
0.025000,8.018120,2.943111,6.388438,7.036766,0.080834,0.001808,0.000911
0.025000,8.194090,2.943354,6.564408,7.038788,0.080880,0.001874,0.001857
0.025000,8.370110,2.943768,6.740428,7.040811,0.080929,0.001933,0.002853
0.025000,8.546180,2.944362,6.916499,7.042836,0.080978,0.001985,0.003897
0.025000,8.722300,2.945144,7.092621,7.044862,0.081029,0.002029,0.004992
0.025000,8.898469,2.946123,7.268793,7.046889,0.081081,0.002065,0.006135
0.025000,9.074688,2.947309,7.445016,7.048917,0.081133,0.002094,0.007328
0.025000,9.250956,2.948709,7.621290,7.050947,0.081186,0.002112,0.008571
0.025000,9.427273,2.950334,7.797614,7.052978,0.081239,0.002123,0.009863
0.025000,9.603638,2.952191,7.973989,7.055010,0.081292,0.002124,0.011205
0.025000,9.780052,2.954290,8.150415,7.057043,0.081345,0.002114,0.012596
0.025000,9.956513,2.956639,8.326892,7.059078,0.081397,0.002096,0.014037
0.025000,10.133022,2.959248,8.503420,7.061115,0.081449,0.002064,0.015528
0.025000,10.309577,2.962125,8.679999,7.063152,0.081500,0.002024,0.017068
0.025000,10.486179,2.965279,8.856629,7.065191,0.081549,0.001971,0.018658
0.025000,10.662826,2.968719,9.033310,7.067231,0.081596,0.001906,0.020298
0.025000,10.839519,2.972455,9.210041,7.069272,0.081642,0.001829,0.021987
0.025000,11.016255,2.976495,9.386824,7.071314,0.081686,0.001739,0.023727
0.025000,11.193036,2.980847,9.563658,7.073357,0.081726,0.001635,0.025516
0.025000,11.369859,2.985522,9.740543,7.075401,0.081764,0.001519,0.027355
0.025000,11.546724,2.990528,9.917479,7.077446,0.081799,0.001388,0.029244
0.025000,11.723631,2.995874,10.094467,7.079492,0.081830,0.001242,0.031183
0.025000,11.900578,3.001569,10.271505,7.081538,0.081857,0.001082,0.033172
0.025000,12.077564,3.007622,10.448595,7.083585,0.081880,0.000906,0.035210
0.025000,12.254588,3.014042,10.625736,7.085633,0.081898,0.000715,0.037299
0.025000,12.431650,3.020838,10.802928,7.087681,0.081910,0.000508,0.039438
0.025000,12.608747,3.028019,10.980171,7.089729,0.081918,0.000284,0.041626
0.025000,12.785880,3.035595,11.157465,7.091776,0.081919,0.000044,0.043865
0.025000,12.963046,3.043574,11.334811,7.093824,0.081913,-0.000215,0.046153
0.025000,13.140244,3.051965,11.512208,7.095872,0.081901,-0.000490,0.048492
0.025000,13.317473,3.060777,11.689656,7.097919,0.081881,-0.000783,0.050880
0.025000,13.494732,3.070019,11.867155,7.099965,0.081854,-0.001096,0.053318
0.025000,13.672018,3.079701,12.044705,7.102011,0.081818,-0.001426,0.055806
0.025000,13.849330,3.089832,12.222306,7.104055,0.081774,-0.001776,0.058344
0.025000,14.026667,3.100420,12.399959,7.106098,0.081720,-0.002145,0.060932
0.025000,14.204026,3.111474,12.577662,7.108139,0.081657,-0.002534,0.063570
0.025000,14.381406,3.123004,12.755417,7.110179,0.081583,-0.002943,0.066257
0.025000,14.558805,3.135018,12.933222,7.112217,0.081499,-0.003372,0.068994
0.025000,14.736221,3.147526,13.111078,7.114252,0.081404,-0.003821,0.071781
0.025000,14.913652,3.160536,13.288986,7.116284,0.081296,-0.004291,0.074617
0.025000,15.091095,3.174058,13.466943,7.118313,0.081177,-0.004782,0.077503
