dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.630534,8.500000,0.000625,0.050000,2.000000,80.000000,0.000073
0.025000,1.633034,8.500001,0.003125,0.150000,4.000000,80.000000,0.000416
0.025000,1.638034,8.500004,0.008125,0.250000,4.000000,0.000000,0.001102
0.025000,1.645534,8.500017,0.015625,0.350000,4.000000,0.000000,0.002133
0.025000,1.655534,8.500045,0.025625,0.450000,4.000000,-0.000000,0.003514
0.025000,1.668034,8.500100,0.038125,0.550000,4.000000,0.000000,0.005248
0.025000,1.683034,8.500194,0.053125,0.650000,4.000000,-0.000000,0.007340
0.025000,1.700533,8.500344,0.070625,0.750000,4.000000,0.000000,0.009798
0.025000,1.720532,8.500568,0.090625,0.850000,4.000000,0.000000,0.012628
0.025000,1.743029,8.500888,0.113125,0.950000,4.000000,0.000000,0.015840
0.025000,1.768025,8.501329,0.138125,1.050000,4.000000,0.000000,0.019445
0.025000,1.795519,8.501919,0.165625,1.150000,4.000000,-0.000000,0.023454
0.025000,1.825509,8.502689,0.195625,1.250000,4.000000,0.000000,0.027879
0.025000,1.857994,8.503673,0.228125,1.350000,4.000000,0.000000,0.032737
0.025000,1.892972,8.504912,0.263125,1.450000,4.000000,0.000000,0.038043
0.025000,1.930441,8.506446,0.300625,1.550000,4.000000,-0.000000,0.043815
0.025000,1.970397,8.508322,0.340625,1.650000,4.000000,0.000000,0.050074
0.025000,2.012836,8.510593,0.383125,1.750000,4.000000,0.000000,0.056841
0.025000,2.057754,8.513313,0.428125,1.850000,4.000000,0.000000,0.064141
0.025000,2.105143,8.516543,0.475625,1.950000,4.000000,0.000000,0.072001
0.025000,2.154998,8.520350,0.525625,2.050000,4.000000,0.000000,0.080448
0.025000,2.207309,8.524805,0.578125,2.150000,4.000000,0.000000,0.089516
0.025000,2.262064,8.529987,0.633125,2.250000,4.000000,-0.000000,0.099238
0.025000,2.319250,8.535980,0.690625,2.350000,4.000000,0.000000,0.109652
0.025000,2.378852,8.542877,0.750625,2.450000,4.000000,0.000000,0.120799
0.025000,2.440851,8.550777,0.813125,2.550000,4.000000,0.000000,0.132723
0.025000,2.505223,8.559787,0.878125,2.650000,4.000000,0.000000,0.145472
0.025000,2.571941,8.570024,0.945625,2.750000,4.000000,0.000000,0.159097
0.025000,2.640975,8.581614,1.015625,2.850000,4.000000,0.000000,0.173654
0.025000,2.712284,8.594693,1.088125,2.950000,4.000000,0.000000,0.189202
0.025000,2.785826,8.609406,1.163125,3.050000,4.000000,-0.000000,0.205805
0.025000,2.861547,8.625911,1.240625,3.150000,4.000000,0.000000,0.223530
0.025000,2.939385,8.644378,1.320625,3.250000,4.000000,0.000000,0.242446
0.025000,3.019269,8.664986,1.403125,3.350000,4.000000,0.000000,0.262627
0.025000,3.101112,8.687930,1.488125,3.450000,4.000000,0.000000,0.284150
0.025000,3.184816,8.713416,1.575625,3.550000,4.000000,-0.000000,0.307089
0.025000,3.270267,8.741661,1.665625,3.650000,4.000000,0.000000,0.331520
0.025000,3.357331,8.772895,1.758125,3.750000,4.000000,-0.000000,0.357517
0.025000,3.445856,8.807358,1.853125,3.850000,4.000000,0.000000,0.385147
0.025000,3.535667,8.845300,1.950625,3.950000,4.000000,-0.000000,0.414468
0.025000,3.626563,8.886978,2.050625,4.050000,4.000000,0.000000,0.445525
0.025000,3.718320,8.932651,2.153125,4.150000,4.000000,-0.000000,0.478347
0.025000,3.810684,8.982579,2.258125,4.250000,4.000000,0.000000,0.512936
0.025000,3.903375,9.037016,2.365625,4.350000,4.000000,0.000000,0.549270
0.025000,3.996084,9.096207,2.475625,4.450000,4.000000,0.000000,0.587289
0.025000,4.088479,9.160377,2.588125,4.550000,4.000000,0.000000,0.626897
0.025000,4.180204,9.229729,2.703125,4.650000,4.000000,-0.000000,0.667953
0.025000,4.270886,9.304434,2.820625,4.750000,4.000000,0.000000,0.710274
0.025000,4.360143,9.384627,2.940625,4.850000,4.000000,-0.000000,0.753635
0.025000,4.447591,9.470398,3.063125,4.950000,4.000000,0.000000,0.797773
0.025000,4.532849,9.561795,3.188125,5.050000,4.000000,-0.000000,0.842396
0.025000,4.615557,9.658816,3.315625,5.150000,4.000000,0.000000,0.887192
0.025000,4.695377,9.761412,3.445625,5.250000,4.000000,-0.000000,0.931844
0.025000,4.772005,9.869493,3.578125,5.350000,4.000000,0.000000,0.976041
0.025000,4.845178,9.982930,3.713125,5.450000,4.000000,0.000000,1.019492
0.025000,4.914674,10.101562,3.850625,5.550000,4.000000,-0.000000,1.061937
0.025000,4.980320,10.225206,3.990625,5.650000,4.000000,0.000000,1.103151
0.025000,5.041986,10.353662,4.133125,5.750000,4.000000,-0.000000,1.142953
0.025000,5.099585,10.486721,4.278125,5.850000,4.000000,0.000000,1.181203
0.025000,5.153071,10.624173,4.425625,5.950000,4.000000,-0.000000,1.217805
0.025000,5.202434,10.765810,4.575625,6.050000,4.000000,0.000000,1.252700
0.025000,5.247692,10.911432,4.728125,6.150000,4.000000,-0.000000,1.285862
0.025000,5.288889,11.060851,4.883125,6.250000,4.000000,0.000000,1.317295
0.025000,5.326090,11.213888,5.040625,6.350000,4.000000,0.000000,1.347024
0.025000,5.359374,11.370383,5.200625,6.450000,4.000000,0.000000,1.375090
0.025000,5.388835,11.530185,5.363125,6.550000,4.000000,0.000000,1.401550
0.025000,5.414573,11.693161,5.528125,6.650000,4.000000,-0.000000,1.426468
0.025000,5.436694,11.859190,5.695625,6.750000,4.000000,0.000000,1.449912
0.025000,5.455309,12.028164,5.865625,6.850000,4.000000,-0.000000,1.471955
0.025000,5.470530,12.199988,6.038125,6.950000,4.000000,0.000000,1.492670
0.025000,5.482431,12.373954,6.212500,7.000000,2.000000,-80.000000,1.512062
0.025000,5.491108,12.548736,6.387500,7.000000,0.000000,-80.000000,1.530091
0.025000,5.496750,12.723643,6.562500,7.000000,0.000000,0.000000,1.546808
0.025000,5.499573,12.898619,6.737500,7.000000,0.000000,0.000000,1.562320
0.025000,5.500189,13.073526,6.912500,7.000000,0.000000,0.000000,1.565630
0.025000,5.502207,13.248513,7.087500,7.000000,0.000000,0.000000,1.552759
0.025000,5.506552,13.423458,7.262500,7.000000,0.000000,0.000000,1.539030
0.025000,5.513377,13.598323,7.437500,7.000000,0.000000,0.000000,1.524376
0.025000,5.522850,13.773065,7.612500,7.000000,0.000000,0.000000,1.508725
0.025000,5.535150,13.947630,7.787500,7.000000,0.000000,0.000000,1.491999
0.025000,5.550467,14.121956,7.962500,7.000000,0.000000,0.000000,1.474111
0.025000,5.569008,14.295969,8.137500,7.000000,0.000000,0.000000,1.454968
0.025000,5.590992,14.469579,8.312500,7.000000,0.000000,0.000000,1.434469
0.025000,5.616656,14.642683,8.487500,7.000000,0.000000,0.000000,1.412505
0.025000,5.646206,14.814923,8.662260,6.980766,-0.769352,-30.774094,1.388995
0.025000,5.679713,14.985308,8.835913,6.911532,-2.769352,-80.000000,1.363954
0.025000,5.717137,15.152709,9.007452,6.811532,-4.000000,-49.225906,1.337453
0.025000,5.758491,15.316605,9.176490,6.711532,-4.000000,-0.000000,1.309505
0.025000,5.803848,15.476842,9.343028,6.611532,-4.000000,0.000000,1.280079
0.025000,5.853264,15.633253,9.507067,6.511532,-4.000000,-0.000000,1.249158
0.025000,5.906779,15.785662,9.668605,6.411532,-4.000000,0.000000,1.216741
0.025000,5.964411,15.933883,9.827643,6.311532,-4.000000,0.000000,1.182850
0.025000,6.026150,16.077723,9.984181,6.211532,-4.000000,0.000000,1.147532
0.025000,6.091958,16.216987,10.138220,6.111532,-4.000000,0.000000,1.110861
0.025000,6.161762,16.351480,10.289758,6.011532,-4.000000,-0.000000,1.072942
0.025000,6.235453,16.481015,10.438796,5.911532,-4.000000,0.000000,1.033913
0.025000,6.312882,16.605415,10.585335,5.811532,-4.000000,-0.000000,0.993942
0.025000,6.393862,16.724522,10.729373,5.711532,-4.000000,0.000000,0.953228
0.025000,6.478165,16.838203,10.870911,5.611532,-4.000000,-0.000000,0.911994
0.025000,6.565529,16.946352,11.009950,5.511532,-4.000000,0.000000,0.870482
0.025000,6.655659,17.048903,11.146488,5.411532,-4.000000,-0.000000,0.828943
0.025000,6.748235,17.145823,11.280526,5.311532,-4.000000,0.000000,0.787632
0.025000,6.842914,17.237123,11.412065,5.211532,-4.000000,-0.000000,0.746796
0.025000,6.939345,17.322854,11.541103,5.111532,-4.000000,0.000000,0.706663
0.025000,7.037169,17.403105,11.667641,5.011532,-4.000000,-0.000000,0.667443
