dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,13.000738,5.500000,0.000780,0.062425,2.497006,99.880228,6.282940
0.025000,13.003859,5.499998,0.003902,0.187275,4.994011,99.880228,6.281904
0.025000,13.010102,5.499983,0.010144,0.312126,4.994011,0.000000,6.279834
0.025000,13.019465,5.499937,0.019508,0.436976,4.994011,-0.000000,6.276733
0.025000,13.031950,5.499831,0.031993,0.561826,4.994011,0.000000,6.272611
0.025000,13.047555,5.499626,0.047599,0.686677,4.994011,0.000000,6.267475
0.025000,13.066279,5.499274,0.066327,0.811527,4.994011,-0.000000,6.261338
0.025000,13.088121,5.498719,0.088176,0.936377,4.994011,0.000000,6.254218
0.025000,13.113077,5.497895,0.113146,1.061227,4.994011,0.000000,6.246134
0.025000,13.141144,5.496727,0.141237,1.186078,4.994011,0.000000,6.237111
0.025000,13.172316,5.495135,0.172449,1.310928,4.994011,-0.000000,6.227179
0.025000,13.206585,5.493027,0.206783,1.435778,4.994011,0.000000,6.216374
0.025000,13.243941,5.490309,0.244238,1.560629,4.994011,0.000000,6.204738
0.025000,13.284371,5.486877,0.284815,1.685479,4.994011,0.000000,6.192322
0.025000,13.327861,5.482625,0.328512,1.810329,4.994011,-0.000000,6.179181
0.025000,13.374392,5.477443,0.375331,1.935179,4.994011,0.000000,6.165381
0.025000,13.423942,5.471215,0.425271,2.060030,4.994011,0.000000,6.150996
0.025000,13.476486,5.463828,0.478333,2.184880,4.994011,-0.000000,6.136106
0.025000,13.531997,5.455168,0.534515,2.309730,4.994011,0.000000,6.120803
0.025000,13.590443,5.445121,0.593819,2.434581,4.994011,0.000000,6.105185
0.025000,13.651791,5.433578,0.656244,2.559431,4.994011,-0.000000,6.089358
0.025000,13.716006,5.420438,0.721791,2.684281,4.994011,0.000000,6.073436
0.025000,13.783051,5.405603,0.790458,2.809131,4.994011,-0.000000,6.057540
0.025000,13.852890,5.388985,0.862247,2.933982,4.994011,-0.000000,6.041795
0.025000,13.925485,5.370510,0.937157,3.058832,4.994011,0.000000,6.026333
0.025000,14.000803,5.350114,1.015189,3.183682,4.994011,-0.000000,6.011287
0.025000,14.078811,5.327746,1.096342,3.308533,4.994011,0.000000,5.996795
0.025000,14.159483,5.303374,1.180616,3.433383,4.994011,-0.000000,5.982997
0.025000,14.242797,5.276981,1.268011,3.558233,4.994011,0.000000,5.970034
0.025000,14.328739,5.248571,1.358527,3.683083,4.994011,0.000000,5.958047
0.025000,14.417303,5.218166,1.452165,3.807934,4.994011,-0.000000,5.947181
0.025000,14.508492,5.185813,1.548924,3.932784,4.994011,0.000000,5.937581
0.025000,14.602322,5.151579,1.648804,4.057634,4.994011,-0.000000,5.929394
0.025000,14.698820,5.115558,1.751806,4.182485,4.994011,0.000000,5.922770
0.025000,14.798026,5.077873,1.857928,4.307335,4.994011,-0.000000,5.917863
0.025000,14.899995,5.038674,1.967172,4.432185,4.994011,0.000000,5.914835
0.025000,15.004795,4.998144,2.079538,4.557035,4.994011,0.000000,5.913854
0.025000,15.112513,4.956500,2.195024,4.681886,4.994011,0.000000,5.915097
0.025000,15.223245,4.914002,2.313632,4.806736,4.994011,0.000000,5.918752
0.025000,15.337106,4.870948,2.435361,4.931586,4.994011,0.000000,5.925023
0.025000,15.454221,4.827687,2.560211,5.056437,4.994011,0.000000,5.934122
0.025000,15.574728,4.784621,2.688183,5.181287,4.994011,0.000000,5.946278
0.025000,15.698770,4.742212,2.819275,5.306137,4.994011,0.000000,5.961730
0.025000,15.826493,4.700985,2.953490,5.430987,4.994011,-0.000000,5.980723
0.025000,15.958037,4.661536,3.090825,5.555838,4.994011,0.000000,6.003501
0.025000,16.093528,4.624536,3.231281,5.680688,4.994011,0.000000,6.030292
0.025000,16.233064,4.590730,3.374859,5.805538,4.994011,0.000000,6.061292
0.025000,16.376698,4.560937,3.521558,5.930389,4.994011,0.000000,6.096634
0.025000,16.524425,4.536037,3.671379,6.055239,4.994011,0.000000,6.136361
0.025000,16.676159,4.516957,3.824320,6.180089,4.994011,-0.000000,6.180386
0.025000,16.831720,4.504642,3.980383,6.304939,4.994011,0.000000,6.228459
0.025000,16.990819,4.500014,4.139567,6.429790,4.994011,0.000000,6.280139
0.025000,17.153065,4.499029,4.301873,6.554640,4.994011,0.000000,6.271062
0.025000,17.318467,4.496195,4.467299,6.679490,4.994011,0.000000,6.261670
0.025000,17.486963,4.492026,4.635847,6.804341,4.994011,-0.000000,6.255844
0.025000,17.657781,4.487114,4.806736,6.866766,2.497006,-99.880228,6.253651
0.025000,17.829326,4.482123,4.978354,6.862653,-0.164490,-106.459809,6.255158
0.025000,18.000004,4.477731,5.149088,6.796116,-2.661495,-99.880228,6.260385
0.025000,18.168316,4.474589,5.317431,6.671266,-4.994011,-93.300646,6.269303
0.025000,18.333531,4.473282,5.482652,6.546415,-4.994011,0.000000,6.281900
0.025000,18.495625,4.474343,5.644751,6.421565,-4.994011,0.000000,0.015065
0.025000,18.654552,4.478289,5.803730,6.296715,-4.994011,0.000000,0.035306
0.025000,18.810233,4.485624,5.959587,6.171865,-4.994011,-0.000000,0.059633
0.025000,18.962551,4.496846,6.112323,6.047014,-4.994011,0.000000,0.088294
0.025000,19.111343,4.512448,6.261938,5.922164,-4.994011,0.000000,0.121570
0.025000,19.256391,4.532914,6.408431,5.797314,-4.994011,0.000000,0.159761
0.025000,19.397412,4.558712,6.551804,5.672463,-4.994011,0.000000,0.203151
0.025000,19.534051,4.590274,6.692054,5.547613,-4.994011,0.000000,0.251965
0.025000,19.665878,4.627978,6.829184,5.422763,-4.994011,-0.000000,0.306306
0.025000,19.792390,4.672109,6.963193,5.297913,-4.994011,0.000000,0.366079
0.025000,19.913027,4.722825,7.094080,5.173062,-4.994011,0.000000,0.430910
0.025000,20.027202,4.780111,7.221846,5.048212,-4.994011,0.000000,0.500082
0.025000,20.134348,4.843745,7.346490,4.923362,-4.994011,0.000000,0.572516
0.025000,20.233972,4.913288,7.468014,4.798511,-4.994011,-0.000000,0.646823
0.025000,20.325718,4.988089,7.586416,4.673661,-4.994011,0.000000,0.721428
0.025000,20.409410,5.067332,7.701697,4.548811,-4.994011,0.000000,0.794755
0.025000,20.485072,5.150095,7.813857,4.423961,-4.994011,0.000000,0.865401
0.025000,20.552922,5.235426,7.922895,4.299110,-4.994011,-0.000000,0.932277
0.025000,20.613335,5.322403,8.028812,4.174260,-4.994011,0.000000,0.994658
0.025000,20.666805,5.410182,8.131608,4.049410,-4.994011,0.000000,1.052173
0.025000,20.713891,5.498020,8.231283,3.924559,-4.994011,0.000000,1.104741
0.025000,20.755180,5.585290,8.327836,3.799709,-4.994011,-0.000000,1.152493
0.025000,20.791256,5.671468,8.421268,3.674859,-4.994011,0.000000,1.195699
0.025000,20.822677,5.756131,8.511579,3.550009,-4.994011,0.000000,1.234699
0.025000,20.849963,5.838936,8.598768,3.425158,-4.994011,-0.000000,1.269865
0.025000,20.873591,5.919612,8.682837,3.300308,-4.994011,0.000000,1.301568
