dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,9.659419,17.910000,0.000605,0.048409,1.936357,77.454265,3.141294
0.025000,9.656998,17.910002,0.003026,0.145227,3.872713,77.454265,3.140048
0.025000,9.652157,17.910016,0.007866,0.242045,3.872713,0.000000,3.137549
0.025000,9.644896,17.910059,0.015128,0.338862,3.872713,0.000000,3.133786
0.025000,9.635215,17.910159,0.024810,0.435680,3.872713,-0.000000,3.128739
0.025000,9.623114,17.910353,0.036912,0.532498,3.872713,0.000000,3.122383
0.025000,9.608595,17.910688,0.051434,0.629316,3.872713,0.000000,3.114687
0.025000,9.591661,17.911220,0.068378,0.726134,3.872713,0.000000,3.105614
0.025000,9.572314,17.912018,0.087741,0.822952,3.872713,-0.000000,3.095122
0.025000,9.550560,17.913160,0.109525,0.919769,3.872713,0.000000,3.083164
0.025000,9.526407,17.914735,0.133730,1.016587,3.872713,0.000000,3.069687
0.025000,9.499866,17.916847,0.160355,1.113405,3.872713,-0.000000,3.054636
0.025000,9.470953,17.919611,0.189400,1.210223,3.872713,0.000000,3.037954
0.025000,9.439687,17.923152,0.220866,1.307041,3.872713,0.000000,3.019583
0.025000,9.406097,17.927614,0.254752,1.403859,3.872713,0.000000,2.999467
0.025000,9.370215,17.933149,0.291059,1.500676,3.872713,-0.000000,2.977555
0.025000,9.332086,17.939925,0.329786,1.597494,3.872713,0.000000,2.953805
0.025000,9.291765,17.948122,0.370933,1.694312,3.872713,-0.000000,2.928187
0.025000,9.249317,17.957932,0.414501,1.791130,3.872713,0.000000,2.900689
0.025000,9.204824,17.969557,0.460490,1.887948,3.872713,-0.000000,2.871321
0.025000,9.158381,17.983207,0.508899,1.984766,3.872713,0.000000,2.840124
0.025000,9.110101,17.999096,0.559728,2.081583,3.872713,0.000000,2.807173
0.025000,9.060114,18.017440,0.612978,2.178401,3.872713,0.000000,2.772585
0.025000,9.008565,18.038452,0.668648,2.275219,3.872713,0.000000,2.736518
0.025000,8.955615,18.062338,0.726739,2.372037,3.872713,0.000000,2.699176
0.025000,8.901442,18.089290,0.787250,2.468855,3.872713,-0.000000,2.660810
0.025000,8.846230,18.119482,0.850182,2.565673,3.872713,0.000000,2.621706
0.025000,8.790173,18.153065,0.915534,2.662490,3.872713,0.000000,2.582185
0.025000,8.733462,18.190166,0.983306,2.759308,3.872713,0.000000,2.542587
0.025000,8.676932,18.230403,1.052699,2.792089,1.311244,-102.458755,2.503697
0.025000,8.622276,18.272515,1.121700,2.728053,-2.561469,-154.908529,2.466836
0.025000,8.570693,18.315253,1.188691,2.631235,-3.872713,-52.449775,2.432874
0.025000,8.522336,18.358039,1.253262,2.534417,-3.872713,0.000000,2.401894
0.025000,8.477029,18.400580,1.315412,2.437599,-3.872713,0.000000,2.373723
0.025000,8.434600,18.442618,1.375142,2.340781,-3.872713,-0.000000,2.348170
0.025000,8.394883,18.483931,1.432451,2.243963,-3.872713,0.000000,2.325040
0.025000,8.357724,18.524327,1.487340,2.147146,-3.872713,0.000000,2.304138
0.025000,8.322977,18.563640,1.539809,2.050328,-3.872713,0.000000,2.285276
0.025000,8.290510,18.601728,1.589857,1.953510,-3.872713,0.000000,2.268278
0.025000,8.260202,18.638467,1.637484,1.856692,-3.872713,-0.000000,2.252978
0.025000,8.231944,18.673753,1.682691,1.759874,-3.872713,0.000000,2.239224
0.025000,8.205637,18.707496,1.725478,1.663056,-3.872713,0.000000,2.226876
0.025000,8.181192,18.739619,1.765844,1.566239,-3.872713,-0.000000,2.215808
0.025000,8.158530,18.770055,1.803790,1.469421,-3.872713,0.000000,2.205903
0.025000,8.137582,18.798746,1.839315,1.372603,-3.872713,-0.000000,2.197059
0.025000,8.118286,18.825645,1.872420,1.275785,-3.872713,0.000000,2.189181
0.025000,8.100585,18.850710,1.903104,1.178967,-3.872713,-0.000000,2.182185
0.025000,8.084434,18.873904,1.931368,1.082149,-3.872713,0.000000,2.175996
0.025000,8.069789,18.895198,1.957212,0.985332,-3.872713,-0.000000,2.170547
0.025000,8.056615,18.914565,1.980635,0.888514,-3.872713,0.000000,2.165779
0.025000,8.044879,18.931983,2.001637,0.791696,-3.872713,0.000000,2.161639
0.025000,8.034555,18.947433,2.020220,0.694878,-3.872713,0.000000,2.158081
0.025000,8.025620,18.960900,2.036381,0.598060,-3.872713,-0.000000,2.155067
0.025000,8.018055,18.972372,2.050123,0.501242,-3.872713,0.000000,2.152561
0.025000,8.011844,18.981837,2.061443,0.404425,-3.872713,0.000000,2.150536
0.025000,8.006974,18.989286,2.070344,0.307607,-3.872713,0.000000,2.148968
0.025000,8.003436,18.994715,2.076824,0.210789,-3.872713,-0.000000,2.147841
0.025000,8.001223,18.998118,2.080883,0.113971,-3.872713,0.000000,2.147140
0.025000,8.000223,18.999656,2.082718,0.032781,-3.247601,25.004490,2.146825
0.025000,8.000000,19.000000,2.083127,0.000000,-1.311244,77.454265,2.146755
0.025000,8.000000,19.000000,2.083127,0.000000,0.000000,52.449775,2.146755
