dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.630531,8.500000,0.000615,0.049196,1.967853,78.714102,0.000000
0.025000,1.632991,8.500000,0.003075,0.147589,3.935705,78.714102,0.000000
0.025000,1.637911,8.500000,0.007994,0.245982,3.935705,0.000000,0.000000
0.025000,1.645290,8.500000,0.015374,0.344374,3.935705,0.000000,0.000000
0.025000,1.655129,8.500000,0.025213,0.442767,3.935705,-0.000000,0.000000
0.025000,1.667428,8.500000,0.037512,0.541159,3.935705,-0.000000,0.000000
0.025000,1.682187,8.500000,0.052271,0.639552,3.935705,0.000000,0.000000
0.025000,1.699406,8.500000,0.069490,0.737945,3.935705,-0.000000,0.000000
0.025000,1.719085,8.500000,0.089168,0.836337,3.935705,-0.000000,0.000000
0.025000,1.741223,8.500000,0.111307,0.934730,3.935705,0.000000,0.000000
0.025000,1.765821,8.500000,0.135905,1.033123,3.935705,-0.000000,0.000000
0.025000,1.792879,8.500000,0.162963,1.131515,3.935705,0.000000,0.000000
0.025000,1.822397,8.500000,0.192481,1.229908,3.935705,-0.000000,0.000000
0.025000,1.854374,8.500000,0.224458,1.328300,3.935705,0.000000,0.000000
0.025000,1.888812,8.500000,0.258896,1.426693,3.935705,0.000000,0.000000
0.025000,1.925709,8.500000,0.295793,1.525086,3.935705,-0.000000,0.000000
0.025000,1.965066,8.500000,0.335150,1.623478,3.935705,0.000000,0.000000
0.025000,2.006883,8.500000,0.376967,1.721871,3.935705,-0.000000,0.000000
0.025000,2.051160,8.500000,0.421243,1.820264,3.935705,0.000000,0.000000
0.025000,2.097896,8.500000,0.467980,1.918656,3.935705,-0.000000,0.000000
0.025000,2.147093,8.500000,0.517176,2.017049,3.935705,-0.000000,0.000000
0.025000,2.198749,8.500000,0.568832,2.115441,3.935705,0.000000,0.000000
0.025000,2.252865,8.500000,0.622948,2.213834,3.935705,-0.000000,0.000000
0.025000,2.309440,8.500000,0.679524,2.312227,3.935705,0.000000,0.000000
0.025000,2.368476,8.500000,0.738560,2.410619,3.935705,0.000000,0.000000
0.025000,2.429971,8.500000,0.800055,2.509012,3.935705,-0.000000,0.000000
0.025000,2.493927,8.500000,0.864010,2.607405,3.935705,0.000000,0.000000
0.025000,2.560342,8.500000,0.930425,2.705797,3.935705,0.000000,0.000000
0.025000,2.629216,8.500000,0.999300,2.804190,3.935705,-0.000000,0.000000
0.025000,2.700551,8.500000,1.070635,2.902583,3.935705,0.000000,0.000000
0.025000,2.774346,8.500000,1.144429,3.000975,3.935705,0.000000,0.000000
0.025000,2.850600,8.500000,1.220684,3.099368,3.935705,0.000000,0.000000
0.025000,2.929314,8.500000,1.299398,3.197760,3.935705,-0.000000,0.000000
0.025000,3.010488,8.500000,1.380572,3.296153,3.935705,0.000000,0.000000
0.025000,3.094122,8.500000,1.464205,3.394546,3.935705,0.000000,0.000000
0.025000,3.180215,8.500000,1.550299,3.492938,3.935705,-0.000000,0.000000
0.025000,3.268769,8.500000,1.638852,3.591331,3.935705,0.000000,0.000000
