dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,8.659749,10.749486,0.000610,0.048811,1.952429,78.097143,4.258469
0.025000,8.658679,10.747293,0.003051,0.146432,3.904857,78.097143,4.257894
0.025000,8.656533,10.742909,0.007932,0.244054,3.904857,0.000000,4.256741
0.025000,8.653306,10.736337,0.015253,0.341675,3.904857,-0.000000,4.255007
0.025000,8.648985,10.727583,0.025015,0.439296,3.904857,0.000000,4.252685
0.025000,8.643554,10.716655,0.037218,0.536918,3.904857,0.000000,4.249767
0.025000,8.636996,10.703563,0.051861,0.634539,3.904857,-0.000000,4.246242
0.025000,8.629286,10.688318,0.068945,0.732161,3.904857,0.000000,4.242095
0.025000,8.620397,10.670934,0.088469,0.829782,3.904857,-0.000000,4.237313
0.025000,8.610298,10.651429,0.110434,0.927404,3.904857,0.000000,4.231877
0.025000,8.598951,10.629822,0.134840,1.025025,3.904857,0.000000,4.225767
0.025000,8.586316,10.606135,0.161685,1.122646,3.904857,0.000000,4.218958
0.025000,8.572348,10.580395,0.190972,1.220268,3.904857,0.000000,4.211426
0.025000,8.556995,10.552630,0.222699,1.317889,3.904857,-0.000000,4.203141
0.025000,8.540203,10.522873,0.256866,1.415511,3.904857,0.000000,4.194071
0.025000,8.521911,10.491164,0.293474,1.513132,3.904857,0.000000,4.184182
0.025000,8.502050,10.457543,0.332523,1.610754,3.904857,0.000000,4.173434
0.025000,8.480550,10.422059,0.374012,1.708375,3.904857,-0.000000,4.161787
0.025000,8.457332,10.384767,0.417942,1.805996,3.904857,0.000000,4.149195
0.025000,8.432311,10.345728,0.464312,1.903618,3.904857,-0.000000,4.135610
0.025000,8.405396,10.305009,0.513123,2.001239,3.904857,0.000000,4.120981
0.025000,8.376490,10.262688,0.564374,2.098861,3.904857,-0.000000,4.105252
0.025000,8.345488,10.218851,0.618066,2.196482,3.904857,0.000000,4.088366
0.025000,8.312281,10.173596,0.674198,2.294104,3.904857,-0.000000,4.070264
0.025000,8.276752,10.127031,0.732771,2.391725,3.904857,0.000000,4.050883
0.025000,8.238777,10.079277,0.793784,2.489346,3.904857,0.000000,4.030162
0.025000,8.198228,10.030470,0.857238,2.586968,3.904857,0.000000,4.008038
0.025000,8.154974,9.980762,0.923133,2.684589,3.904857,0.000000,3.984452
0.025000,8.108875,9.930320,0.991468,2.782211,3.904857,0.000000,3.959347
0.025000,8.059795,9.879331,1.062243,2.879832,3.904857,-0.000000,3.932674
0.025000,8.007592,9.827997,1.135459,2.977454,3.904857,0.000000,3.904394
0.025000,7.952129,9.776545,1.211116,3.075075,3.904857,-0.000000,3.874479
0.025000,7.893271,9.725218,1.289213,3.172696,3.904857,0.000000,3.842919
0.025000,7.830893,9.674280,1.369751,3.270318,3.904857,0.000000,3.809724
0.025000,7.764878,9.624014,1.452729,3.367939,3.904857,0.000000,3.774929
0.025000,7.695124,9.574719,1.538148,3.465561,3.904857,0.000000,3.738600
0.025000,7.621549,9.526709,1.626007,3.563182,3.904857,0.000000,3.700830
0.025000,7.544767,9.480696,1.715526,3.598322,1.405609,-99.969915,3.662090
0.025000,7.466561,9.437854,1.804703,3.535841,-2.499248,-156.194286,3.623409
0.025000,7.388566,9.398926,1.891879,3.438220,-3.904857,-56.224371,3.585678
