dt,x,y,position,velocity,acceleration,jerk,heading
0.025000,1.630410,4.000000,0.000625,0.050000,2.000000,80.000000,6.283168
0.025000,1.632910,4.000000,0.003125,0.150000,4.000000,80.000000,6.283061
0.025000,1.637910,3.999999,0.008125,0.250000,4.000000,0.000000,6.282848
0.025000,1.645410,3.999995,0.015625,0.350000,4.000000,-0.000000,6.282529
0.025000,1.655410,3.999986,0.025625,0.450000,4.000000,0.000000,6.282104
0.025000,1.667910,3.999969,0.038125,0.550000,4.000000,0.000000,6.281574
0.025000,1.682910,3.999940,0.053125,0.650000,4.000000,-0.000000,6.280939
0.025000,1.700410,3.999895,0.070625,0.750000,4.000000,0.000000,6.280201
0.025000,1.720410,3.999827,0.090625,0.850000,4.000000,0.000000,6.279360
0.025000,1.742910,3.999730,0.113125,0.950000,4.000000,0.000000,6.278417
0.025000,1.767909,3.999598,0.138125,1.050000,4.000000,0.000000,6.277374
0.025000,1.795409,3.999422,0.165625,1.150000,4.000000,-0.000000,6.276231
0.025000,1.825408,3.999195,0.195625,1.250000,4.000000,0.000000,6.274991
0.025000,1.857907,3.998907,0.228125,1.350000,4.000000,0.000000,6.273655
0.025000,1.892905,3.998548,0.263125,1.450000,4.000000,-0.000000,6.272225
0.025000,1.930402,3.998109,0.300625,1.550000,4.000000,0.000000,6.270703
0.025000,1.970399,3.997577,0.340625,1.650000,4.000000,-0.000000,6.269090
0.025000,2.012894,3.996942,0.383125,1.750000,4.000000,0.000000,6.267389
0.025000,2.057888,3.996191,0.428125,1.850000,4.000000,0.000000,6.265602
0.025000,2.105380,3.995311,0.475625,1.950000,4.000000,-0.000000,6.263732
0.025000,2.155369,3.994290,0.525625,2.050000,4.000000,0.000000,6.261782
0.025000,2.207856,3.993113,0.578125,2.150000,4.000000,0.000000,6.259753
0.025000,2.262839,3.991766,0.633125,2.250000,4.000000,0.000000,6.257649
0.025000,2.320319,3.990235,0.690625,2.350000,4.000000,0.000000,6.255472
0.025000,2.380294,3.988505,0.750625,2.450000,4.000000,0.000000,6.253227
0.025000,2.442764,3.986561,0.813125,2.550000,4.000000,-0.000000,6.250915
0.025000,2.507727,3.984386,0.878125,2.650000,4.000000,0.000000,6.248541
0.025000,2.575184,3.981966,0.945625,2.750000,4.000000,0.000000,6.246108
0.025000,2.645133,3.979284,1.015625,2.850000,4.000000,0.000000,6.243619
0.025000,2.717572,3.976324,1.088125,2.950000,4.000000,0.000000,6.241079
0.025000,2.792502,3.973070,1.163125,3.050000,4.000000,-0.000000,6.238490
0.025000,2.869919,3.969505,1.240625,3.150000,4.000000,0.000000,6.235858
0.025000,2.949825,3.965613,1.320625,3.250000,4.000000,0.000000,6.233186
0.025000,3.032216,3.961378,1.403125,3.350000,4.000000,0.000000,6.230478
0.025000,3.117092,3.956783,1.488125,3.450000,4.000000,0.000000,6.227738
0.025000,3.204450,3.951813,1.575625,3.550000,4.000000,-0.000000,6.224972
0.025000,3.294290,3.946451,1.665625,3.650000,4.000000,0.000000,6.222183
0.025000,3.386610,3.940682,1.758125,3.750000,4.000000,0.000000,6.219376
0.025000,3.481408,3.934490,1.853125,3.850000,4.000000,0.000000,6.216557
0.025000,3.578683,3.927860,1.950625,3.950000,4.000000,0.000000,6.213729
0.025000,3.678431,3.920778,2.050625,4.050000,4.000000,-0.000000,6.210898
0.025000,3.780653,3.913230,2.153125,4.150000,4.000000,0.000000,6.208068
0.025000,3.885346,3.905202,2.258125,4.250000,4.000000,-0.000000,6.205246
0.025000,3.992507,3.896680,2.365625,4.350000,4.000000,0.000000,6.202436
0.025000,4.102136,3.887654,2.475625,4.450000,4.000000,0.000000,6.199643
0.025000,4.214231,3.878110,2.588125,4.550000,4.000000,-0.000000,6.196873
0.025000,4.328789,3.868039,2.703125,4.650000,4.000000,0.000000,6.194132
0.025000,4.445809,3.857429,2.820625,4.750000,4.000000,-0.000000,6.191424
0.025000,4.565289,3.846273,2.940625,4.850000,4.000000,0.000000,6.188757
0.025000,4.687228,3.834562,3.063125,4.950000,4.000000,0.000000,6.186135
0.025000,4.811624,3.822289,3.188125,5.050000,4.000000,-0.000000,6.183564
0.025000,4.938476,3.809447,3.315625,5.150000,4.000000,0.000000,6.181050
0.025000,5.067782,3.796033,3.445625,5.250000,4.000000,-0.000000,6.178600
0.025000,5.199541,3.782043,3.578125,5.350000,4.000000,0.000000,6.176219
0.025000,5.333752,3.767474,3.713125,5.450000,4.000000,0.000000,6.173914
0.025000,5.470415,3.752325,3.850625,5.550000,4.000000,-0.000000,6.171690
0.025000,5.609529,3.736598,3.990625,5.650000,4.000000,0.000000,6.169555
0.025000,5.751094,3.720295,4.133125,5.750000,4.000000,-0.000000,6.167515
0.025000,5.895108,3.703419,4.278125,5.850000,4.000000,0.000000,6.165576
0.025000,6.041573,3.685975,4.425625,5.950000,4.000000,0.000000,6.163744
0.025000,6.190489,3.667972,4.575625,6.050000,4.000000,-0.000000,6.162028
0.025000,6.341856,3.649418,4.728125,6.150000,4.000000,0.000000,6.160433
0.025000,6.495675,3.630325,4.883125,6.250000,4.000000,-0.000000,6.158967
0.025000,6.651948,3.610704,5.040625,6.350000,4.000000,0.000000,6.157636
0.025000,6.810677,3.590573,5.200625,6.450000,4.000000,0.000000,6.156448
0.025000,6.971863,3.569947,5.363125,6.550000,4.000000,-0.000000,6.155410
0.025000,7.135508,3.548847,5.528125,6.650000,4.000000,0.000000,6.154531
0.025000,7.301616,3.527295,5.695625,6.750000,4.000000,-0.000000,6.153816
0.025000,7.470189,3.505315,5.865625,6.850000,4.000000,0.000000,6.153275
0.025000,7.641231,3.482935,6.038125,6.950000,4.000000,0.000000,6.152915
0.025000,7.814746,3.460185,6.213125,7.050000,4.000000,-0.000000,6.152744
0.025000,7.990738,3.437096,6.390625,7.150000,4.000000,0.000000,6.152770
0.025000,8.169211,3.413706,6.570625,7.250000,4.000000,-0.000000,6.153003
0.025000,8.350172,3.390052,6.753125,7.350000,4.000000,0.000000,6.153451
0.025000,8.533625,3.366177,6.938125,7.450000,4.000000,0.000000,6.154122
0.025000,8.719576,3.342125,7.125625,7.550000,4.000000,-0.000000,6.155027
0.025000,8.908031,3.317946,7.315625,7.650000,4.000000,0.000000,6.156174
0.025000,9.098997,3.293692,7.508125,7.750000,4.000000,-0.000000,6.157573
0.025000,9.292480,3.269418,7.703125,7.850000,4.000000,0.000000,6.159234
0.025000,9.488488,3.245186,7.900625,7.950000,4.000000,0.000000,6.161168
0.025000,9.686407,3.221133,8.100000,8.000000,2.000000,-80.000000,6.163377
0.025000,9.885002,3.197470,8.300000,8.000000,0.000000,-80.000000,6.165853
0.025000,10.083658,3.174326,8.500000,8.000000,0.000000,0.000000,6.168592
0.025000,10.282380,3.151751,8.700000,8.000000,0.000000,0.000000,6.171595
0.025000,10.481172,3.129799,8.900000,8.000000,0.000000,0.000000,6.174862
0.025000,10.680037,3.108524,9.100000,8.000000,0.000000,0.000000,6.178396
0.025000,10.878978,3.087978,9.300000,8.000000,0.000000,0.000000,6.182198
0.025000,11.077999,3.068216,9.500000,8.000000,0.000000,0.000000,6.186269
0.025000,11.277102,3.049291,9.700000,8.000000,0.000000,0.000000,6.190612
0.025000,11.476287,3.031257,9.900000,8.000000,0.000000,0.000000,6.195227
